companyName,description,countryOfCompany,categoryOfCompany,email,
ddm hopt & schuler,"ddm hopt+schuler is a German family owned company, existing for now almost 50 years. At ddm hopt+schuler we focus on our core competences

- switches
- card readers
- ticketing systems

At ddm h+s we believe, to control the whole lifecycle of products i.e. design, development and manufacturing, helps to create sustainable products and imp",United States,,,
Decayeux,,France,,,
DeciZone Inc.,"DeciZone Streamlines Operations Using INTERACTIVE DECISION TREES That Work By Saving Time, Money & Headache. Automate busy Work & Focus On Real Strategy: Help Desk; Call Center Agent Script; Tech Support; Customer Service Tickets; Product Selection; Repair Troubleshooting; Self Service; Sales;CRM Simple.No Coding.Effective.Automatic.24X7.",United States of America,"Artificial Intelligence,Digital Health,Education,High-Tech Retailing/E-Commerce,Startups",Contact@DeciZone.com,
deep River,,France,,,
DeepBrain AI,"Moneybrain specializes in deep learning and real-time video synthesis technologies. Creating AI avatars look, speak and act like a real human for any business needs or fun is as easy as typing with Moneybrain. We aim to deeply enrich everyone's life with Moneybrain's synthesized AI avatar.",South Korea,,info@moneybrain.ai,
Deeplite,"Deeplite is enabling AI for everyday life. Deeplite uses AI to automatically make other AI models smaller, faster, and more energy-efficient creating highly compact, high-performance deep neural networks that can run at the “edge” in vehicles, cameras, sensors, drones, phones and many other devices you use every day.",Canada,,info@deeplite.ai,
DeepSea,,Colombia,,,
Brydge,"Premium mobile and desktop devices for the modern lifestyle.
Wireless keyboards for iPad & Surface, Vertical Docks for MacBook and Multiport Desktop Hubs for MacOS & Windows.",United States,,media@brydge.com,
Bryght Labs Inc,,United States of America,,,
BSI Group America Inc.,"BSI works as a trusted, independent convenor of communities to shape, share, embed and support innovation in IoT and the safe and reliable use of ‘smart’ applications, data and devices. Through our community of IoT experts and organizations, BSI is at the forefront of shaping new opportunities and creating industry-led IoT best practice.",United States,,inquiry.msamericas@bsigroup.com,
burai,,Japan,,,
Business France - La French Tech,"Business France is the national agency supporting the international development of the French economy, responsible for fostering export growth by French businesses, as well as promoting and facilitating international investment in France. 
For further information, please visit: 
www.businessfrance.fr @businessfrance.fr",France,,,
Business France Automotive,"Welcome to the French Automotive Pavilion featuring 15 exhibiting companies devoted to smart mobility and future vehicle technologies:

A2Mac1, Circle, CNPA, Epicnpoc, Eyelights, Georide, Golaem, Provenrun, Quadribot, Road-Light, SBG Systems, Secure-IC, Trust in Soft, Woodoo and YoGoKo.

Come visit us !",France,"IoT/Sensors,Startups,Vehicle Tech",,
BVW Factory,,France,"Gaming and Esports,High-Tech Retailing/E-Commerce,Home Entertainment Hardware,Sports Technology,Startups",virgile@venym.com,
ByStamp,"BYSTAMP invents the first electronic stamp called KEYMO which transposes the use of ink stamps into the digital world to sign all digital documents.
We offer dual-proof traceability thanks to a receipt stored in the KEYMO's stamp at each stamping and also in a blockchain. 
Our technology guarantees sovereignty of signed data by design.",France,,,
Bytech,,United States of America,,,
Bytech,,United States of America,,,
Bzigo,"Bzigo is the first device that actively detects and locates mosquitoes in the home. Once a mosquito is detected you receive a notification to your phone, and a laser marker shows the mosquito’s precise location, allowing you to easily eliminate it. Future generations of the device will eliminate mosquitoes and other pests autonomously.",United States,"Artificial Intelligence,Drones,IoT/Sensors,Smart Home and Appliances",,
C2A Security,"C2A Security is a trusted end-to-end automotive cybersecurity solutions provider. Its embedded cybersecurity solutions and cybersecurity lifecycle management platform, AutoSec, empower the automotive industry with visibility and control over the bespoke solutions needed to protect today’s and tomorrow’s connected vehicles.",Israel,"Cybersecurity,Startups,Vehicle Tech",info@c2a-sec.com,
Cable Matters Inc.,Cable Matters products are thoughtfully designed and carefully engineered in-house to deliver an ideal customer experience. We source top-quality components and extensively test our products in real-world conditions to provide consistent performance and increased reliability.,United States of America,"Accessories,AR/VR/XR,Gaming and Esports,Mobile Hardware and Accessories,Video Technologies",sales@cablematters.com,
CableLabs,,United States of America,,,
Cadence Design Systems Inc.,,United States of America,,,
Biocmos.co.Ltd,,Japan,"Digital Health,Fitness and Wearables,IoT/Sensors,Sustainability,Wellness Technologies",homma@biocmos.com,
BionIT Labs,"BionIT Labs is a Medtech Italian company working in the field of Human-Machine Integration: it applies IT to Bionics with the aim of 'Turning Disabilities into New Possibilities'.
The company developed Adam's Hand, the World’s First Fully-Adaptive Bionic Hand: a upper-limb myoelectric prosthesis based on a patented smart mechanism and AI.",Italy,"Accessibility,Artificial Intelligence,IoT/Sensors,Robotics,Startups",info@bionitlabs.com,
Biopooltech,,France,,contact@biopooltech.com,
Biospectal,"Biospectal is a remote patient monitoring and biosensing software company that democratizes access to clinical-grade monitoring worldwide. The Biospectal OptiBP™ smartphone app and data platform enables frequent and intelligent blood pressure tracking via a fingertip applied to a smartphone camera lens, anytime, anywhere.",Switzerland,,info@biospectal.com,
Biot Korea Inc.,,South Korea,,,
Bird,,United States of America,,,
Birosign Ltd.,Birosign provides a signature verification service for frequent signers. Our proprietary algorithm analyzes the dynamic character traits of the signature and authenticates the signer.,Hungary,"Accessories,Cybersecurity,Fintech,Home Office Hardware and Accessories,Startups",,
Bisbee Baby,BisbeeBaby is a smart baby products company focused on helping make feeding easier for bottle fed babies.,United States,"Family and Lifestyle,High-Tech Retailing/E-Commerce,Smart Home and Appliances,Startups,Food Technology",tony@bisbeebaby.com,
Bitdefender,"Bitdefender is a global cybersecurity and antivirus software leader, protecting over 500 million systems in more than 150 countries. 
Since 2001, Bitdefender innovation has consistently delivered award-winning security products and threat intelligence for people, homes, businesses and their devices, networks and cloud services.",Romania,,adnastase@bitdefender.com,
BizLink Technology Inc.,,United States of America,"5G Technologies,AR/VR/XR,Cloud Computing/Data,Home Office Hardware and Accessories,Mobile Hardware and Accessories",,
BlackBerry Limited,"BlackBerry® QNX® is a trusted supplier of safety certified real time operating systems, hypervisors, middleware, development tools and services, all purpose-built for the world’s most critical embedded systems. Their technology is used in more than 195 million vehicles and in embedded systems around the world across a range of industries.",Canada,"Artificial Intelligence,Cloud Computing/Data,Cybersecurity,IoT/Sensors,Vehicle Tech",,
Codelab,,Montenegro,,,
Cognata,"Cognata provides simulation and validation platform for the autonomous vehicles (AV) and ADAS industry, as well as custom synthetic datasets. 

Our products enable autonomous vehicles and ADAS manufacturers with the ability to test drive their AI and sensors on our platform, giving them a fast lane to Autonomous.",Israel,"Artificial Intelligence,Smart Cities and Resilience,Vehicle Tech",sales@cognata.com,
COLOP Digital GmbH,"COLOP is one of the world's leading producers of modern marking products and supplies, with an export rate of 98%, to more than 130 countries. COLOP Digital was founded as a subsidiary of COLOP in 2018. Beside the e-mark, COLOP Digital deals with the development of digital marking devices as well as the corresponding software solutions.",Austria,,colop@colop.com,
ComeBack Mobility,"ComeBack Mobility, a Ukrainian medtech startup, created a weight-bearing tracking service that monitors patient compliance throughout the rehab process after lower limb injuries through Smart Crutch Tips & Mobile apps.
Service extends patient care beyond the clinic procedures directly to the patient's homes. Every step taken is measured!",Ukraine,"Digital Health,Startups",,
comma,,United States of America,,,
Common Computer,,South Korea,,,
Compass Mining,,United States of America,,,
Compertum Microsystems lnc.,"Compertum Microsystems Inc. aims at manufacturing disruptive, reliable, high performance yet low cost, one-axis and two-axis MEMS-based micro-mirrors used in LiDAR module for ADAS. Also, we design and manufacture the low cost, high performance LiDAR module. Furthermore, we can customize our products based on needs.",Taiwan,Vehicle Tech,sales@compertum.com,
Comply™ Foam Tips,,United States,,,
Conduction Labs Inc,,United States of America,,,
Chargepoly,,France,"Artificial Intelligence,Energy/Power,Startups,Vehicle Tech",,
"Charmcare Co., Ltd.","Charmcare has the inspiration and hope to improve happiness by supporting the individual's health. Charmcare was founded in 2004 and is currently providing high quality medical devices to 40 different countries around the world. Based on endless R&D, we presented H2-BP (wristband bp monitor) and selected as 'Best of Innovation' in CES2020",South Korea,,info@charmcare.com,
"Chasing-Innovation Technology Co., Ltd.",,China,,,
Chen-Source Inc.,,Taiwan,,,
Chen-Source Inc.,,Taiwan,,,
Chillax Care Limited,,Hong Kong SAR,"Artificial Intelligence,Digital Health,IoT/Sensors,Smart Home and Appliances,Startups",hello@chillaxcare.com,
Contact CI,,United States of America,,,
Continental Automotive Systems Inc.,"Continental develops pioneering technologies and services for sustainable and connected mobility of people and their goods. Founded in 1871, the technology company offers safe, efficient, intelligent, and affordable solutions for vehicles, machines, traffic and transportation.",United States,,,
Coolso Inc.,"CoolSo focus on developing Human Computer Interface solution using self-owned unique patented muscle bio signal detection technology developed by our founder. We aim to provide a reliable, user friendly and flexible gesture recognition solution which allows user to easily control interactive content or electronics with their bare hands.",Taiwan,"AR/VR/XR,Gaming and Esports,Sports Technology",leo@coolso.com.tw,
Copilot,"Deliver better customer engagement and accelerate growth for your IoT and connected products with Copilot®, the automated customer experience platform created specifically for consumer electronics. Turn your customers into happy, active users and improve Lifetime Value",United States,,hello@copilot.cx,
Copra Acoustic LLC,,Ukraine,"Audio Technologies,Home Entertainment Hardware",,
Coptiq Co. Ltd.,"Breezm produces custom eyewear optimized for the customer's face, using 3D-printing, 3D-scanning, and big data analysis. We sell directly to consumers through our offline stores as well as online channels.",South Korea,"Digital Imaging and 3D Printing,Accessories,Artificial Intelligence,Startups,Sustainability",silja@breezm.com,
CoreAVI,"CoreAVI architects safety critical graphics and compute solutions supporting safe autonomy, machine vision, AI and visualization applications in the automotive, unmanned vehicle and industrial IoT markets, as well as commercial and military avionics systems. We are people innovating a safe and secure autonomous world.",United States of America,"Artificial Intelligence,Drones,Robotics,Vehicle Tech,Space Technology",Sales@coreavi.com,
Corning Incorporated,"For 170 years, Corning has combined its unparalleled expertise in glass science,
ceramics science, and optical physics with deep manufacturing and engineering
capabilities to develop life-changing innovations.",United States of America,,,
Cosmos Robotics,,United States of America,,,
Covestro,"Covestro LLC is a leading global producer of high-performance polymers. But we are more than just a supplier; we are an innovation partner that can move with you at the speed of design. Our polycarbonate & specialty films materials support emerging trends in mobility, electronics, automation, healthcare and more. Let's collaborate!",United States,,,
"Coway Co., Ltd.","Our obsession with helping people live happier, healthier lives began in Korea in 1989.
ince our founding, Coway has become a global leader in intensive research, engineering and innovation, amassing over 5,000 intellectual property rights in all.

When it comes to health, we believe every element needs to be examined, researched, underst",South Korea,"Family and Lifestyle,High-Tech Retailing/E-Commerce,Smart Home and Appliances,Wellness Technologies",,
Cradlewise Inc,"Cradlewise is an intelligent crib that learns from the baby’s sleep patterns, spots the first signs of wake-up and automatically bounces the baby to sleep along with soothing music. It has a built-in monitor, sleep analytics and connected app. It's a complete sleep solution that mimics the parent and can be used from birth to 24 months.",United States of America,,info@cradlewise.com,
Cranberry Queues Corp,,United States of America,,,
CreaCube Co. Ltd,"Creacube Co., Ltd. has corporations both in the US and Korea, was founded in 2017.
We developed mobile application and IOT devices for learning basic math skills.
We held a number of patents, and success in global exhibition and contest exhibit.
We will launch the new version of IOT leaning devices engaged children's tactile and kinesthet",South Korea,"Education,Entertainment and Content,Gaming and Esports,IoT/Sensors,Startups",business@creacube.co.kr,
CAKE,,Sweden,,,
CalChip Connect,"Leading the world in IoT device distribution and deployment, CalChip Connect is committed to connecting consumers and industries around the globe with the highest performing solutions and devices available on the market today. We support our partners to optimize their successful journey to market.",United States of America,,,
Cameron Sino Technology Ltd.,,"Hong Kong, SAR China",,,
Canatu,"Canatu creates the most advanced carbon nanotubes that enable industry-transforming products. Our current product portfolio spans from transparent conductive film applied in automotive ADAS sensor heaters and 3D touch HMIs, to free-standing CNT membranes for semiconductor manufacturing. Nano solutions for massive impact. www.canatu.com",Finland,"IoT/Sensors,Vehicle Tech",info@canatu.com,
CanBusHack,"CanBusHack, Inc., is a reverse engineering services corporation specializing in automotive embedded controller software and communication understanding.  As a small team of electronic, software, and communication specialists, we aim to understand how individual embedded systems operate and communicate.",United States of America,"Car Audio,Cybersecurity,IoT/Sensors,Mobile Hardware and Accessories,Vehicle Tech",hello@canbushack.com,
Canon USA Inc.,"Canon introduces TogetherNext. Enter the future of togetherness, and experience how Canon technology will make connecting with people, cultures, and the world around us more exciting than ever.",United States,"Digital Imaging and 3D Printing,AR/VR/XR,Entertainment and Content,Video Technologies",pr@cusa.canon.com,
Canon USA Inc.,"Canon introduces TogetherNext. Enter the future of togetherness, and experience how Canon technology will make connecting with people, cultures, and the world around us more exciting than ever.",United States,"Digital Imaging and 3D Printing,AR/VR/XR,Entertainment and Content,Video Technologies",pr@cusa.canon.com,
Capstone Industries,"Capstone Industries, Inc. (“Capstone”) is a designer, manufacturer and distributor of consumer inspired products that bridge technological innovations with today’s lifestyle. The Company has a history of exploiting technologies in areas of induction charging, power failure control, security and home LED lighting products.",United States of America,,info@capstoneconnected.com,
Capte B.V.,,Netherlands,"Energy/Power,IoT/Sensors,Smart Cities and Resilience,Startups,Vehicle Tech",,
Car Mate USA,,United States of America,"Accessories,Mobile Hardware and Accessories",,
Car Selling Machine,,France,,,
CardConnect,,United States of America,,,
Caregiver Smart Solutions,"Caregiver Smart Solutions is The Best Way to Monitor Loved Ones As they Age (Live) In Place.
 
By using AI for Aging in Place, we provide a proactive solution that enables your loved ones to retain their independence, dignity, and live on their own as long as possible while reducing your stress through Peace of Mind.",United States,"Artificial Intelligence,Digital Health,IoT/Sensors,Startups,Wellness Technologies",Ryan@CaregiverSmartSolutions.com,
"CarePredict, Inc.","CarePredict empowers better senior care. Since 2013 we have created solutions that improve seniors' quality of life both at home and within senior living facilities. Our award-winning Tempo AI-powered wearable alerts caregivers to activity changes in seniors that are precursors to health declines, enabling preventive care.",United States,,ssukhu@carepredict.com,
CareWear,"CareWear®  is an FDA registered & CE Approved US manufacturer of globally patented, over-the-counter, wearable, light therapy medical devices. We distribute worldwide through independent distribution channels. CareWear has developed the world’s first wearable printed light technology for improved recovery from injury and pain relief.",United States,"Digital Health,Fitness and Wearables,Sports Technology",info@carewear.net,
Blickfeld,"Founded in 2017 and based in Munich, Germany, Blickfeld provides cutting-edge LiDAR sensors and perception software, enabling countless mobility and IoT applications.
The Blickfeld LiDAR products meet extremely demanding technical specifications with regard to the performance, cost and dimensions required for the mass market.",Germany,"IoT/Sensors,Robotics,Smart Cities and Resilience,Startups,Vehicle Tech",info@blickfeld.com,
Blink Charging,"With industry-leading equipment and a robust network of public charging stations, Blink continues to develop the infrastructure required to meet the growing needs of EV drivers. Blink’s diverse product line-up boasts the most advanced equipment in the industry. We are driving the industry forward through our innovation and passion.",United States of America,"Energy/Power,Smart Home and Appliances,Sustainability,Vehicle Tech",CES@blinkcharging.com,
Blink Tech Inc.,,United States of America,,,
Blue Heart Energy,,Netherlands,,contactbhe@blueheartenergy.com,
Bluenav,Hybrid and electric motorizations for boats,France,"Energy/Power,Startups,Sustainability,Vehicle Tech",contact@bluenav.fr,
Blues Wireless,"Blues Wireless is the creator of the Notecard, the fastest and most cost-effective way to add wireless connectivity to any product. The Notecard is a secure system on a module (SoM) with embedded 10-year global connectivity that allows any developer to send data from remote assets to the cloud using JSON and two-lines of code.",United States of America,"5G Technologies,IoT/Sensors,Smart Cities and Resilience",hello@blues.com,
CREAL SA,"CREAL brings the truly three dimensional display to virtual and augmented reality. Our light-field technology projects high-fidelity hologram-like imagery that is entirely natural to human vision, thus eliminating eye-strain, enhancing immersion and allowing conflictless mix of virtual and real worlds.",Switzerland,,contact@creal.com,
Creative Technology,"We have been providing the electrostatic device to semiconductor industry. Everyone have experience of getting shock by electrostatic. But depending on how it is used ""Electrostatic"" is a useful item safely for our life. Our brand ""ATARAINA"" be providing safe application of ""Electrostatic”! Let’s experience ""Electrostatic Magic""",Japan,,,
Cree Lighting,"Cree Lighting, A company of IDEAL INDUSTRIES, is a market-leading innovator of LED lighting solutions. The Connected Max brand extends the offering with cutting-edge technology in the smart home category. Providing exceptional smart home solutions made simple to transform the way people experience light and keep their home safe.",United States of America,"Accessories,Smart Home and Appliances",bulbs@creelighting.com,
Creoir,"Creoir Offline Voice Solution (OVS) SDK offers manufacturers and brand owners an easy way to add embedded voice control user interface to their products and applications. We use proven Cerence technology for ASR, Text-to-Speech and Speech Signal Enhancement to enable superior end-to-end voice performance.",Finland,"Accessibility,Artificial Intelligence,Audio Technologies,Smart Home and Appliances,Startups",sales@creoir.com,
Criteo,,United States of America,,,
CSEM SA,"We are a dynamic, multidisciplinary and multicultural center of excellence for industry and innovation and a a unique link between industry and cutting-edge research
We develop and transfer world-class (micro) technologies to the industrial sector in order to reinforce the sector’s competitive advantage",Switzerland,,info@csem.ch,
Cub Elecparts Inc.,,United States of America,,,
Cubbit srl,"Cubbit is the datacenter-less cloud provider, recycling underutilized internet resources into the most privacy-guardian, cost-efficient and green web-services. Users receive forever-free cloud storage, Businesses get encrypted and cost-saving cloud services.",Italy,,connect@cubbit.io,
Cube Tracker,,United States,,,
"Cubist Co., Ltd","""Designed by the Cubist in Korea, Assembled in China ""
This is a Korean beauty brand Cubist Face Factory. We are dedicated to providing an opportunity for anyone to achieve beauty easily. It is a company that plans, designs, and manufactures products by understanding the needs and desires of customers.",South Korea,"Family and Lifestyle,Startups",md_kdh@cubist.co.kr,
Cubtale Inc.,"Cubtale is a care management platform that helps parents and caregivers better coordinate newborn care. Our one press smart buttons help with the collection of care data, and our mobile app supports parents with personalized care recommendations.",United States of America,"Digital Health,Family and Lifestyle,IoT/Sensors,Startups,Wellness Technologies",info@cubtale.com,
Curallux,,United States of America,,,
Curaum Inc.,,South Korea,,,
Bmmpr,,United States of America,"5G Technologies,IoT/Sensors,Mobile Hardware and Accessories,Smart Cities and Resilience,Vehicle Tech",info@bmmpr.com,
BMW,"The BMW Group in the US includes marketing, sales, and financial service organizations for the BMW brand of motor vehicles, including motorcycles, MINI, and Rolls-Royce Motor Cars; Design works, a strategic design consultancy based in California; technology offices in Silicon Valley, and various other operations throughout the country.",United States,Vehicle Tech,,
Boarding Ring,"At Boarding Ring, we want to help people feel better in their mobility !
We develop motion sickness mitigating solutions, such as glasses, lighting systems and accessories for virtual reality.",France,,contact@boardingring.com,
Body Force Realities UG,"A New High-Tech Start-Up based outside of Munich, Germany. We are Computer, PlayStation, Gaming and Virtual Reality enthusiasts who are passionate about providing essential Virtual Reality ""body joystick"" peripherals to greatly enhance VR experiences for all users.",Germany,"AR/VR/XR,Gaming and Esports,High-Tech Retailing/E-Commerce,Home Entertainment Hardware,Startups",administration@body-force-realities.com,
Bodyfriend,"BODYFRIEND is a global leader of health and wellness headquartered in South Korea. Founded in 2007, BODYFRIEND has expanded its global presence into Asia, North America, Europe, Oceania  and ranked global No. 1 in the massage chair industry in 10 years, with most market share in global massage chair industry.",United States,"Digital Health,Family and Lifestyle,Fitness and Wearables,Smart Home and Appliances,Wellness Technologies",contact@bodyfriend.com,
BOE Varitronix,,United States of America,"IoT/Sensors,Vehicle Tech",Sales@boevxusa.com,
Bosch,"The Bosch Group is a leading global supplier of technology and services. As an IoT provider, Bosch offers innovative solutions for smart homes, Industry 4.0, and connected mobility. Bosch improves quality of life with products and services that are innovative and spark enthusiasm. Bosch creates technology that is “Invented for life.”",Germany,,kontakt@bosch.de,
Bosch,"The Bosch Group is a leading global supplier of technology and services. As an IoT provider, Bosch offers innovative solutions for smart homes, Industry 4.0, and connected mobility. Bosch improves quality of life with products and services that are innovative and spark enthusiasm. Bosch creates technology that is “Invented for life.”",Germany,,kontakt@bosch.de,
Brainhub,,Morocco,,,
Bransys LLC,"At Bransys we design and develop IoT software and hardware solutions for the automotive industry. We are specialized in IoT eco-systems with BT5, BLE, RFID, and latest technology, and open platforms with wireless and wired communication, open to integrate with unlimited number of third-party sensors, for fleet and asset management.",United States of America,"5G Technologies,IoT/Sensors,Mobile Hardware and Accessories,Sourcing and Manufacturing,Vehicle Tech",contact@bransys.com,
"Breathings Co., Ltd.",,South Korea,,,
BreezoMeter,"BreezoMeter improves the health and safety of millions worldwide. Using AI and machine learning, BreezoMeter provides accurate and actionable environmental data & insights for pollen, pollutants and fires through mobile apps, IoT devices, cars and other connected experiences for leading brands like Apple, L’Oreal, Volvo and AstraZeneca.",Israel,"Artificial Intelligence,Digital Health,Fitness and Wearables,Smart Home and Appliances,Wellness Technologies",info@breezometer.com,
Brekr (Smart Commute BV),,Netherlands,,,
Brelyon,,United States of America,"AR/VR/XR,Fintech,Gaming and Esports,Home Office Hardware and Accessories,Startups",info@brelyon.com,
Bridgestone,"At Bridgestone, we are leading a global revolution in mobility  and transforming the way people and goods move. We’re on a journey, evolving from the No. 1 tire and rubber company in the world to a global leader in sustainable mobility and advanced solutions. 

Join us on our journey by visiting our Bridgestone World Microsite.",Japan,,,
CY Vision,"CY Vision's approach to practical computational holography sets apart new vehicle designs by turning the windshield into an always available, always visible display for important information. The company 's 3D AR-HUDs work with advanced driver-assist, cameras, GPS, and smartphones to create a safer and more engaging visual experience.",United States,"AR/VR/XR,Vehicle Tech",info@cyvision.com,
Cybellum,,Israel,,,
Cyber Pop-Up,,United States of America,,,
Bright Way Vision,"Bright Way Vision develops and markets GatedVision technology solutions. Its automotive product, VISDOM,  is a CMOS-based automotive-qualified eye-safe (class 1) vision system powered by patented GatedVision technology that delivers a continuous clear image in all weather and lighting conditions.",Israel,,,
Britelite Enterprises,,United States of America,,,
Broadpeak,,France,,,
"Broken Colors, Inc.",,United States of America,,,
Brombul d.o.o.,"Home security services when you need them. That is the core idea behind Zuluhood, an innovative mobile platform developed by Brombul. Developed as a marketplace and tailored for the growing smart-home market, Zuluhood enables security companies to modernize their services, make them compatible with smart homes and available on-demand.",Croatia,"Family and Lifestyle,High-Tech Retailing/E-Commerce,Smart Home and Appliances,Startups",b2b@zuluhood.com,
Brondell Inc.,"Brondell provides a wide range of healthy technology products from our advanced bidets, award-winning water purification, as well as the only air purification system to effectively destroy 99.9% of Covid-19. We are leveraging the best technologies to deliver healthy home experiences while improving lives every day.",United States,"Digital Health,Family and Lifestyle,Smart Home and Appliances,Sustainability,Wellness Technologies",daniel.villanueva@brondell.com,
Bros and Company Incorporated,"We provide solutions based on our concrete brand experiences to
constantly consider products that bring a better change in the world,
help the overall life of customers, and improve the quality of their life
through new technology and functions and brands that will be a part of
their life, and to inspire and motivate the customers.",South Korea,"Accessibility,Accessories,High-Tech Retailing/E-Commerce,Home Entertainment Hardware,Home Office Hardware and Accessories",,
BRU,"BRU; disrupting the tea world by replacing time consuming, inconsistent, wasteful tea-making with a high quality, automated, user-friendly tea machine for brewing any kind of tea using loose-leaf or tea bags. App-connected with patented technology, with a seamless, sustainable, consistent, and effortlessly repeatable process.",Switzerland,"Smart Home and Appliances,Sustainability,Wellness Technologies,Food Technology",support@bru-tea.com,
Brunswick Corporation,"Brunswick Corporation is the largest recreational marine company in the world and traded on the NYSE:BC.  Brunswick has 17 boat brands, Mercury Marine engines, the largest parts & accessories portfolio and the largest boat club - Freedom Boat Club. With more than 15,000 employees around the world.",United States of America,,lee.gordon@brunswick.com,
Askey Computer Corp.,"Founded in 1989, Askey Computer specializes in manufacturing communication devices and creating solutions and ecosystems for today’s demanding customers who want the best in Smart Connected environments. Since its creation, Askey has been the preferred partner for communications providers as well as major Telecom Operators worldwide.",Taiwan,"Home Office Hardware and Accessories,Vehicle Tech",teresa_hsieh@askey.com,
Asleep,"Asleep is a sleep tech company. We digitalize the sleep process by conveniently tracking, accurately analyzing, and providing all-day sleep coaching to improve sleep.",South Korea,,sleep@asleep.ai,
Assa Abloy,,United States of America,,,
AT&T Business,"AT&T Business provides digital solutions that are helping transform healthcare to connected care. With expertise in connectivity, data analytics, innovation, and strategic collaborations, AT&T Business helps healthcare orgs enhance the patient experience, enable collaboration among caregivers & connect remotely located patients to care.",United States,"5G Technologies,Cybersecurity,Digital Health,IoT/Sensors",,
ATAREC,,Morocco,,,
ATLAN Space,,Morocco,,contact@atlanspace.com,
Atlantic Inc.,"With exceptional ingenuity and devotion, Atlantic Inc. creates gaming chairs, desks and accessories; consumer AV accessories; media and organizational storage; furniture; and electronic accessories. Atlantic’s mission is to provide affordable solutions. Founded in 1985, California based Atlantic has received numerous patents and awards.",United States,,sales@atlantic-inc.com,
Atlantic Inc.,"With exceptional ingenuity and devotion, Atlantic Inc. creates gaming chairs, desks and accessories; consumer AV accessories; media and organizational storage; furniture; and electronic accessories. Atlantic’s mission is to provide affordable solutions. Founded in 1985, California based Atlantic has received numerous patents and awards.",United States,,sales@atlantic-inc.com,
Atmofizer,,United States of America,,,
Atmosic Technologies,Atmosic is re-architecting wireless connectivity solutions from the ground up to radically reduce IoT device dependence on batteries. We aim to make batteries last forever and the Internet of Things battery free – thus breaking the power barrier to widespread IoT adoption.,United States,"Digital Health,Fitness and Wearables,IoT/Sensors,Smart Cities and Resilience,Smart Home and Appliances",info@atmosic.com,
Atomic Form,,United States of America,,,
"ATsens Co., Ltd.","New Frontier of Healthcare platform, ATsens
We are providing comprehensive way to diagnose Heart-Disease based on Wearable AT-Patch, Patient friendly AT-note APP., and AI-based AT-Report software. We are focusing on developing innovative healthcare platform, especially an electrocardiogram platform used at anytime, anywhere.",South Korea,"Digital Health,Wellness Technologies",sales@atsens.com,
Audacy,"Entercom Communications Corp. is a leading audio and entertainment company engaging millions of consumers through our iconic broadcast brands, expansive digital platform, premium podcast network and events. Our robust portfolio of assets and integrated solutions offer advertisers the most engaged community of listeners, at scale.",United States,,sales@entercom.com,
Audiowell Sensor Technology,,United States of America,,,
AUO Corporation America,"As an expert in optoelectronics, AUO sees itself as a provider of smart vertical solutions backed by premium display technologies. AUO has succeeded in earning worldwide recognition for its total solutions with its strong R&D capacity, solid manufacturing expertise, and comprehensive product portfolio.",United States,,,
Aura,,United States of America,"Home Office Hardware and Accessories,IoT/Sensors,Smart Cities and Resilience,Smart Home and Appliances,Wellness Technologies",,
Aura CO2,,France,,,
Austere,Austere creates technologically superior products that keep us powered and connected. Products that perform to the highest expectations every single time. We believe in them so much that they’re backed with a lifetime guarantee to never break and never fail ensuring Austere performs to your expectations. Always.,United States,,,
Austrian Federal Economic Chamber,,Austria,,,
"Autel Robotics Co., Ltd.",Autel Robotics is an industry leader in developing drones for high-end consumer-level and enterprise-level. The company has always adhered to a customer-centric approach and embraced the concept of boundless technological innovation. Its revolutionary products and solutions have been chosen by customers in over 100 countries.,China,,marketing@autelrobotics.com,
Authena AG,,Switzerland,,,
Autofleet,"Autofleet provides the premier Vehicle as a Service platform for fleets, optimizing fleets of vehicles to serve any source of demand. The platform enables car rental  companies, leasing fleets, car sharing platforms, logistics fleets, taxi operators, etc. to optimize existing operations and to launch on-demand rides and deliveries",Israel,,hey@autofleet.io,
"AutoL Co.,Ltd.",,South Korea,,,
Autotalks,,Israel,,,
Avadi Engines,,United States of America,,,
Avatar,,South Korea,,,
Aventon Bikes,,United States of America,,,
AVL,,United States of America,,,
AXELL Inc.,,Japan,"Entertainment and Content,Gaming and Esports,Sports Technology,Startups,Wellness Technologies",info2@axell.tokyo,
Babysense,,United States of America,,,
SeongNam Industry Promotion Agency,,South Korea,,,
Seoul Metropolitan Government,"Seoul, the capital city of South Korea and the global smart city, introduce you innovative smart city solutions and policies.",South Korea,"Smart Cities and Resilience,Smart Home and Appliances,Startups",ann0125@sdf.seoul.kr,
Seoul National University R&DB Foundation,,South Korea,"Artificial Intelligence,Digital Health,IoT/Sensors,Robotics,Wellness Technologies",chltngns@snu.ac.kr,
Seoul Robotics,"Seoul Robotics 3D perception platform, using deep learning and AI,
enables intelligent and safer mobility technology. The company’s core technology SENSR is sensor-agnostic and creates accurate 3D models of the world in real time and provides object detection, classification and prediction.",United States,"Artificial Intelligence,IoT/Sensors,Robotics,Smart Cities and Resilience,Vehicle Tech",sales@seoulrobotics.org,
Seoul Semiconductor,,South Korea,,,
"Seoul Viosys Co., Ltd.",,South Korea,,,
Sequans Communications,"Sequans Communications S.A. (NYSE: SQNS) is a leading developer and supplier of cellular IoT connectivity solutions, providing chips and modules for 5G/4G massive and broadband IoT.",France,"5G Technologies,IoT/Sensors",contact@sequans.com,
