NAME_OF_ITEM,TYPE_OF_ITEM,RARITY,TIER,GEAR_SCORE
Bloodspill Stud,Jewelry - Earring,Epic,Tier IV,410
Men of Arms Mascot,Jewelry - Amulet,Legendary,Tier IV,410
Chanter's Pendant,Jewelry - Amulet,Epic,Tier IV,410
Adventurer's Longsword,Sword,Uncommon,Tier IV,415
Scorpion King's Curse Ring,Jewelry - Ring,Epic,Tier IV,415
Swashbuckler's Earring,Jewelry - Earring,Uncommon,Tier IV,415
Weaver's Hoops,Jewelry - Earring,Uncommon,Tier IV,415
The Ring of Hale's End,Jewelry - Ring,Rare,Tier IV,415
Cutthroat's Javelin,Spear,Uncommon,Tier IV,415
Havelock's Neglect,Heavy Headwear,Common,Tier IV,400-500
Silk Officer Shoes,Light Footwear,Common,Tier IV,400-500
Protective Wyrd Shoes,Light Footwear,Rare,Tier IV,420
Shrouded Intent Boots,Medium Footwear,Rare,Tier IV,420
Weaver's Fen Marksman's Shirt,Light Chestwear,Rare,Tier IV,405
Battle's Embrace Boots,Heavy Footwear,Rare,Tier IV,420
Platinum Stalwart Amulet of the Sentry,@Armor - Amulet,Uncommon,Tier IV,400-500
Silk Officer Trousers,Light Legwear,Common,Tier IV,400-500
Silk Sage Shoes,Light Footwear,Common,Tier IV,400-500
Silk Duelist Shoes,Light Footwear,Common,Tier IV,400-500
Silk Duelist Gloves,Light Glove,Common,Tier IV,400-500
Silk Sage Trousers,Light Legwear,Common,Tier IV,400-500
Silk Duelist Trousers,Light Legwear,Common,Tier IV,400-500
Powerful Angry Earth Coating,Consumable,Common,Tier IV,
Silk Officer Gloves,Light Glove,Common,Tier IV,400-500
Powerful Corruption Tincture,Consumable,Common,Tier IV,
Powerful Lost Coating,Consumable,Common,Tier IV,
Powerful Beast Coating,Consumable,Common,Tier IV,
Powerful Focus Potion,Consumable,Common,Tier IV,
Powerful Encumbrance Potion,Consumable,Common,Tier IV,
Stalwart Potion III,Consumable,Common,Tier IV,
Silk Sage Gloves,Light Glove,Common,Tier IV,400-500
Powerful Regeneration Potion,Consumable,Common,Tier IV,
Stonehewn Ring,Jewelry - Ring,Rare,Tier III,420
Powerful Ancient Coating,Consumable,Common,Tier IV,
Powerful Corrupted Coating,Consumable,Common,Tier IV,
Powerful Endurance Potion,Consumable,Common,Tier IV,
Powerful Health Potion,Consumable,Common,Tier IV,
Powerful Mana Elixir,Consumable,Common,Tier IV,
Imbued Brilliant Opal Amulet,Jewelry - Amulet,Uncommon,Tier IV,400-500
Powerful Mana Potion,Consumable,Common,Tier IV,
Powerful Healing Elixir,Consumable,Common,Tier IV,
Platinum Magician Earring of the Mage,@Armor - Earring,Uncommon,Tier IV,400-500
Empowered Brilliant Sapphire Amulet,Jewelry - Amulet,Uncommon,Tier IV,400-500
Powerful Blight Tincture,Consumable,Common,Tier IV,
Primeval Brilliant Diamond Amulet,Jewelry - Amulet,Uncommon,Tier IV,400-500
Starmetal Siege Hammer,War Hammer,Common,Tier IV,400-500
Reinforced Brilliant Onyx Amulet,Jewelry - Amulet,Uncommon,Tier IV,400-500
Starmetal Round Shield,Round Shield,Common,Tier IV,400-500
Fireproof Brilliant Ruby Amulet,Jewelry - Amulet,Uncommon,Tier IV,400-500
Starmetal Fire Staff,Fire Staff,Common,Tier IV,400-500
Starmetal Ice Gauntlet,Ice Gauntlet,Common,Tier IV,400-500
Starmetal Kite Shield,Kite Shield,Common,Tier IV,400-500
Iceproof Brilliant Aquamarine Amulet,Jewelry - Amulet,Uncommon,Tier IV,400-500
Starmetal Life Staff,Life Staff,Common,Tier IV,400-500
Starmetal Tower Shield,Tower Shield,Common,Tier IV,400-500
Wyrdwood Bow,Bow,Common,Tier IV,400-500
Wyrdwood Spear,Spear,Common,Tier IV,400-500
Starmetal Great axe,Great Axe,Common,Tier IV,400-500
Starmetal Musket,Musket,Common,Tier IV,400-500
Starmetal Mining Pickaxe,Tool,Common,Tier IV,400-500
Starmetal War Hammer,War Hammer,Common,Tier IV,400-500
Starmetal Rapier,Rapier,Common,Tier IV,400-500
Starmetal Hatchet,Hatchet,Common,Tier IV,400-500
Starmetal Longsword,Sword,Common,Tier IV,400-500
Starmetal Heavy Greaves,Heavy Legwear,Common,Tier IV,400-500
Wyrdwood Fishing Pole,Tool,Common,Tier IV,400-500
Starmetal Heavy Breastplate,Heavy Chestwear,Common,Tier IV,400-500
Starmetal Logging Axe,Tool,Common,Tier IV,400-500
Starmetal Heavy Helm,Heavy Headwear,Common,Tier IV,400-500
Starmetal Plate Boots,Heavy Footwear,Common,Tier IV,400-500
Layered Leather Porter's Duffel,Bag,Common,Tier IV,400-500
Starmetal Plate Greaves,Heavy Legwear,Common,Tier IV,400-500
Starmetal Plate Gauntlets,Heavy Glove,Common,Tier IV,400-500
Starmetal Harvesting Sickle,Tool,Common,Tier IV,400-500
Brilliant Carnelian Earring,Jewelry - Earring,Uncommon,Tier IV,400-500
Deepwarden's Battlehelm,Heavy Headwear,Uncommon,Tier IV,400-500
Starmetal Plate Breastplate,Heavy Chestwear,Common,Tier IV,400-500
Starmetal Plate Helm,Heavy Headwear,Common,Tier IV,400-500
Shipyard Sentinel Ice Gauntlet,Ice Gauntlet,Uncommon,Tier IV,400-500
Starmetal Heavy Gauntlets,Heavy Glove,Common,Tier IV,400-500
Deepwatcher Spear,Spear,Uncommon,Tier IV,400-500
Layered Leather Adventurer's Satchel,Bag,Common,Tier IV,400-500
Deepwatcher Rapier,Rapier,Uncommon,Tier IV,400-500
Arboreal Brilliant Amber Earring,Jewelry - Earring,Uncommon,Tier IV,400-500
Starmetal Heavy Boots,Heavy Footwear,Common,Tier IV,400-500
Deepwatcher Ice Gauntlet,Ice Gauntlet,Uncommon,Tier IV,400-500
Shipyard Sentinel Spear,Spear,Uncommon,Tier IV,400-500
Shipyard Sentinel Rapier,Rapier,Uncommon,Tier IV,400-500
Deepwatcher Life Staff,Life Staff,Uncommon,Tier IV,400-500
Shipyard Sentinel Fire Staff,Fire Staff,Uncommon,Tier IV,400-500
Deepwatcher Fire Staff,Fire Staff,Uncommon,Tier IV,400-500
Shipyard Sentinal Tower Shield,Tower Shield,Uncommon,Tier IV,400-500
Shipyard Sentinel Round Shield,Round Shield,Uncommon,Tier IV,400-500
Shipyard Sentinel Kite Shield,Kite Shield,Uncommon,Tier IV,400-500
Deepwatcher Tower Shield,Tower Shield,Uncommon,Tier IV,400-500
Deepwatcher Kite Shield,Kite Shield,Uncommon,Tier IV,400-500
Shipyard Sentinel Life Staff,Life Staff,Uncommon,Tier IV,400-500
Deepwatcher Round Shield,Round Shield,Uncommon,Tier IV,400-500
Covenant Adjudicator's Boots of the Barbarian,Heavy Footwear,Epic,Tier IV,400-500
Covenant Adjudicator's Greaves of the Barbarian,Heavy Legwear,Epic,Tier IV,400-500
Covenant Adjudicator's Gauntlets of the Barbarian,Heavy Glove,Epic,Tier IV,400-500
Shipyard Sentinel Bow,Bow,Uncommon,Tier IV,400-500
Covenant Adjudicator's Breastplate of the Barbarian,Heavy Chestwear,Epic,Tier IV,400-500
Syndicate Keeper's Helm of the Barbarian,Heavy Headwear,Epic,Tier IV,400-500
Marauder Captain's Boots of the Barbarian,Heavy Footwear,Epic,Tier IV,400-500
Shipyard Sentinel Musket,Musket,Uncommon,Tier IV,400-500
Deepwatcher Musket,Musket,Uncommon,Tier IV,400-500
Marauder Captain's Breastplate of the Barbarian,Heavy Chestwear,Epic,Tier IV,400-500
Plague Doctor's Boots of the Occultist,Medium Footwear,Epic,Tier IV,400-500
Plague Doctor's Pants of the Occultist,Medium Legwear,Epic,Tier IV,400-500
Covenant Adjudicator's Helm of the Barbarian,Heavy Headwear,Epic,Tier IV,400-500
Plague Doctor's Gloves of the Occultist,Medium Glove,Epic,Tier IV,400-500
Marauder Captain's Gauntlets of the Barbarian,Heavy Glove,Epic,Tier IV,400-500
Marauder Captain's Greaves of the Barbarian,Heavy Legwear,Epic,Tier IV,400-500
Plague Doctor's Coat of the Occultist,Medium Chestwear,Epic,Tier IV,400-500
Officer's Gloves of the Fighter,Light Glove,Epic,Tier IV,400-500
Fieldshadow's Mask of the Assassin,Light Headwear,Epic,Tier IV,400-500
Marauder Captain's Helm of the Barbarian,Heavy Headwear,Epic,Tier IV,400-500
Officer's Boots of the Fighter,Light Footwear,Epic,Tier IV,400-500
Officer's Pants of the Fighter,Light Legwear,Epic,Tier IV,400-500
Covenant Warden Boots of the Brigand,Medium Footwear,Epic,Tier IV,400-500
Officer's Coat of the Fighter,Light Chestwear,Epic,Tier IV,400-500
Syndicate Agent Pants of the Brigand,Medium Legwear,Epic,Tier IV,400-500
Officer's Hat of the Fighter,Light Headwear,Epic,Tier IV,400-500
Covenant Warden Pants of the Brigand,Medium Legwear,Epic,Tier IV,400-500
Covenant Warden Gloves of the Brigand,Medium Glove,Epic,Tier IV,400-500
Covenant Warden Coat of the Brigand,Medium Chestwear,Epic,Tier IV,400-500
Syndicate Agent Coat of the Brigand,Medium Chestwear,Epic,Tier IV,400-500
Covenant Warden Hat of the Brigand,Medium Headwear,Epic,Tier IV,400-500
Syndicate Agent Gloves of the Brigand,Medium Glove,Epic,Tier IV,400-500
Syndicate Agent Hat of the Brigand,Medium Headwear,Epic,Tier IV,400-500
Syndicate Agent Boots of the Brigand,Medium Footwear,Epic,Tier IV,400-500
Marauder Ranger Pants of the Brigand,Medium Legwear,Epic,Tier IV,400-500
Marauder Ranger Boots of the Brigand,Medium Footwear,Epic,Tier IV,400-500
Graverobber's War Hammer of the Soldier,War Hammer,Epic,Tier IV,400-500
Marauder Ranger Hat of the Brigand,Medium Headwear,Epic,Tier IV,400-500
Corsair's Hatchet of the Soldier,Hatchet,Epic,Tier IV,400-500
Marauder Ranger Coat of the Brigand,Medium Chestwear,Epic,Tier IV,400-500
Fieldshadow's Coat of the Assassin,Light Chestwear,Epic,Tier IV,400-500
Marauder Ranger Gloves of the Brigand,Medium Glove,Epic,Tier IV,400-500
Shadowbringer's Longsword of the Soldier,Sword,Epic,Tier IV,400-500
Shadowbringer's Hatchet of the Soldier,Hatchet,Epic,Tier IV,400-500
Guardian's Hatchet of the Soldier,Hatchet,Epic,Tier IV,400-500
Corsair's Longsword of the Soldier,Sword,Epic,Tier IV,400-500
Graverobber's Hatchet of the Soldier,Hatchet,Epic,Tier IV,400-500
Wraith Hunter's Hatchet of the Soldier,Hatchet,Epic,Tier IV,400-500
Defiled Life Staff,Life Staff,Common,Tier IV,400-500
Guardian's Longsword of the Soldier,Sword,Epic,Tier IV,400-500
Defiled Bow,Bow,Common,Tier IV,400-500
Defiled War Hammer,War Hammer,Common,Tier IV,400-500
Defiled Tower Shield,Tower Shield,Common,Tier IV,400-500
Defiled Round Shield,Round Shield,Common,Tier IV,400-500
Defiled Great Axe,Great Axe,Common,Tier IV,400-500
Wraith Hunter's Longsword of the Soldier,Sword,Epic,Tier IV,400-500
Defiled Musket,Musket,Common,Tier IV,400-500
Defiled Hatchet,Hatchet,Common,Tier IV,400-500
Defiled Fire Staff,Fire Staff,Common,Tier IV,400-500
Defiled Longsword,Sword,Common,Tier IV,400-500
Defiled Kite Shield,Kite Shield,Common,Tier IV,400-500
Corsair's Life Staff of the Sage,Life Staff,Epic,Tier IV,400-500
Shadowbringer's Life Staff of the Sage,Life Staff,Epic,Tier IV,400-500
Soaked Bow,Bow,Common,Tier IV,400-500
Primeval Rapier,Rapier,Common,Tier IV,400-500
Soaked Great Axe,Great Axe,Common,Tier IV,400-500
Soaked Warhammer,War Hammer,Common,Tier IV,400-500
Soaked Hatchet,Hatchet,Common,Tier IV,400-500
Primeval Round Shield,Round Shield,Common,Tier IV,400-500
Soaked Sword,Sword,Common,Tier IV,400-500
Primeval Spear,Spear,Common,Tier IV,400-500
Primeval Ice Gauntlet,Ice Gauntlet,Common,Tier IV,400-500
Vengeful Fisherman's Hat,Light Headwear,Common,Tier IV,400-500
Primeval Life Staff,Life Staff,Common,Tier IV,400-500
Primeval Musket,Musket,Common,Tier IV,400-500
Primeval Tower Shield,Tower Shield,Common,Tier IV,400-500
Primeval Kite Shield,Kite Shield,Common,Tier IV,400-500
Oppressive Visage,Tower Shield,Common,Tier IV,400-500
Primeval Fire Staff,Fire Staff,Common,Tier IV,400-500
Defiled Spear,Spear,Common,Tier IV,400-500
Invasion Earring,Jewelry - Earring,Common,Tier IV,400-500
Plate Breastplate,Heavy Chestwear,Common,Tier IV,400-500
Vengeful Fisherman's Boots,Light Footwear,Common,Tier IV,400-500
Invasion Amulet,Jewelry - Amulet,Common,Tier IV,400-500
Invasion Ring,Jewelry - Ring,Common,Tier IV,400-500
Vengeful Fisherman's Gloves,Light Glove,Common,Tier IV,400-500
Breach Closer's Ring,Jewelry - Ring,Common,Tier IV,400-500
Breach Closer's Earring,Jewelry - Earring,Common,Tier IV,400-500
Barbed Respite,Round Shield,Common,Tier IV,400-500
Plate Helm,Heavy Headwear,Common,Tier IV,400-500
Vengeful Fisherman's Trousers,Light Legwear,Common,Tier IV,400-500
Vengeful Fisherman's Smock,Light Chestwear,Common,Tier IV,400-500
Ruthless Sanctuary,Kite Shield,Common,Tier IV,400-500
Farmer Shirt,Light Chestwear,Common,Tier IV,400-500
Breach Closer's Amulet,Jewelry - Amulet,Common,Tier IV,400-500
Reveler Coat,Light Chestwear,Common,Tier IV,400-500
Farmer Hat,Light Headwear,Common,Tier IV,400-500
Reveler Shoes,Light Footwear,Common,Tier IV,400-500
Reveler Pants,Light Legwear,Common,Tier IV,400-500
Reveler Gloves,Light Glove,Common,Tier IV,400-500
Rescuer Boots,Medium Footwear,Common,Tier IV,400-500
Rescuer Pants,Medium Legwear,Common,Tier IV,400-500
Distant Sovereignity,Musket,Common,Tier IV,400-500
Rescuer Shirt,Medium Chestwear,Common,Tier IV,400-500
Rescuer Hat,Medium Headwear,Common,Tier IV,400-500
Reveler Mask,Light Headwear,Common,Tier IV,400-500
Sorcerer Hunter Pants,Medium Legwear,Common,Tier IV,400-500
Rescuer Gloves,Medium Glove,Common,Tier IV,400-500
Sorcerer Hunter Gauntlets,Medium Glove,Common,Tier IV,400-500
Sorcerer Hunter Boots,Medium Footwear,Common,Tier IV,400-500
Sorcerer Hunter Hat,Medium Headwear,Common,Tier IV,400-500
Cloth Robe Shoes,Light Footwear,Common,Tier IV,400-500
Sorcerer Hunter Coat,Medium Chestwear,Common,Tier IV,400-500
Armorer Pants,Light Legwear,Rare,Tier IV,400
Armorer Gloves,Light Glove,Rare,Tier IV,400
Pirate Gunslinger Gloves,Medium Glove,Common,Tier IV,400-500
Farmer Gloves,Light Glove,Common,Tier IV,400-500
Armorer Hat,Light Headwear,Rare,Tier IV,400
Engineer Hat,Medium Headwear,Rare,Tier IV,400
Engineer Shoes,Medium Footwear,Rare,Tier IV,400
Engineer Pants,Medium Legwear,Rare,Tier IV,400
Engineer Gloves,Medium Glove,Rare,Tier IV,400
Armorer Shirt,Light Chestwear,Rare,Tier IV,400
Weaponsmith Gloves,Medium Glove,Rare,Tier IV,400
Engineer Shirt,Medium Chestwear,Rare,Tier IV,400
Weaponsmith Shoes,Medium Footwear,Rare,Tier IV,400
Weaponsmith Pants,Medium Legwear,Rare,Tier IV,400
Dynasty Corrupted Silks,Light Headwear,Common,Tier IV,400-500
Weaponsmith Hat,Medium Headwear,Rare,Tier IV,400
Dynasty Corrupted Boots,Medium Footwear,Common,Tier IV,400-500
Lumberjack Pants,Light Legwear,Rare,Tier IV,400-500
Weaponsmith Shirt,Medium Chestwear,Rare,Tier IV,400
Dynasty Corrupted Gloves,Medium Glove,Common,Tier IV,400-500
Dynasty Corrupted Mitts,Light Glove,Common,Tier IV,400-500
Dynasty Corrupted Robe,Light Chestwear,Common,Tier IV,400-500
Dynasty Corrupted Greaves,Heavy Footwear,Common,Tier IV,400-500
Smelter's Shoes,Medium Footwear,Rare,Tier V,400
Dynasty Corrupted Leggings,Light Legwear,Common,Tier IV,400-500
Dynasty Corrupted Pants,Medium Legwear,Common,Tier IV,400-500
Shipyard Guard Gauntlets,Heavy Glove,Common,Tier IV,400-500
Dynasty Corrupted Tunic,Medium Chestwear,Common,Tier IV,400-500
Dynasty Corrupted Hat,Medium Headwear,Common,Tier IV,400-500
Depthguard's Pants,Medium Legwear,Common,Tier IV,400-500
Dynasty Corrupted Cuisses,Heavy Legwear,Common,Tier IV,400-500
Dynasty Corrupted Gauntlets,Heavy Glove,Common,Tier IV,400-500
Shipyard Lookout Coat,Medium Chestwear,Common,Tier IV,400-500
Depthguard's Boots,Medium Footwear,Common,Tier IV,400-500
Shipyard Lookout Pants,Medium Legwear,Common,Tier IV,400-500
Shipyard Guard Boots,Heavy Footwear,Common,Tier IV,400-500
Depthguard's Gloves,Medium Glove,Common,Tier IV,400-500
Depthguard's Coat,Medium Chestwear,Common,Tier IV,400-500
Shipyard Lookout Hat,Medium Headwear,Common,Tier IV,400-500
Deepwarden's Battleguards,Heavy Legwear,Common,Tier IV,400-500
Depthguard's Hat,Medium Headwear,Common,Tier IV,400-500
Shipyard Lookout Gloves,Medium Glove,Common,Tier IV,400-500
Deepwarden's Battlestompers,Heavy Footwear,Common,Tier IV,400-500
Shipyard Guard Breastplate,Heavy Chestwear,Common,Tier IV,400-500
Shipyard Guard Greaves,Heavy Legwear,Common,Tier IV,400-500
Deepwarden's Battlebraces,Heavy Glove,Common,Tier IV,400-500
Shipyard Guard Helm,Heavy Headwear,Common,Tier IV,400-500
Sprigganbane Leather Pants,Medium Legwear,Epic,Tier IV,400-500
Breachwatcher Cloth Boots,Light Footwear,Uncommon,Tier IV,400-500
Deepwarden's Battleplate,Heavy Chestwear,Common,Tier IV,400-500
Breachwatcher Cloth Pants,Light Legwear,Uncommon,Tier IV,400-500
Sprigganbane Leather Coat,Medium Chestwear,Epic,Tier IV,400-500
Sprigganbane Leather Gloves,Medium Glove,Epic,Tier IV,400-500
Sprigganbane Boots,Heavy Footwear,Epic,Tier IV,400-500
Deepwarden's Battlehelm,Heavy Headwear,Common,Tier IV,400-500
Sprigganbane Helm,Heavy Headwear,Epic,Tier IV,400-500
Hopeful Defender Cloth Boots,Light Footwear,Common,Tier IV,400-500
Sprigganbane Leather Hat,Medium Headwear,Epic,Tier IV,400-500
Hopeful Defender Cloth Pants,Light Legwear,Common,Tier IV,400-500
Hopeful Defender Cloth Coat,Light Chestwear,Common,Tier IV,400-500
Hopeful Defender Cloth Gloves,Light Glove,Common,Tier IV,400-500
Sprigganbane Gauntlets,Heavy Glove,Epic,Tier IV,400-500
Sprigganbane Greaves,Heavy Legwear,Epic,Tier IV,400-500
Sprigganbane Breastplate,Heavy Chestwear,Epic,Tier IV,400-500
Blessed Cloth Coat,Light Chestwear,Epic,Tier IV,400-500
Blessed Cloth Pants,Light Legwear,Epic,Tier IV,400-500
Blessed Leather Coat,Medium Chestwear,Epic,Tier IV,400-500
Blessed Cloth Gloves,Light Glove,Epic,Tier IV,400-500
Blessed Leather Boots,Medium Footwear,Epic,Tier IV,400-500
Blessed Boots,Heavy Footwear,Epic,Tier IV,400-500
Blessed Leather Hat,Medium Headwear,Epic,Tier IV,400-500
Blessed Greaves,Heavy Legwear,Epic,Tier IV,400-500
Blessed Gauntlets,Heavy Glove,Epic,Tier IV,400-500
Blessed Cloth Hat,Light Headwear,Epic,Tier IV,400-500
Blessed Leather Pants,Medium Legwear,Epic,Tier IV,400-500
Blessed Leather Gloves,Medium Glove,Epic,Tier IV,400-500
Blessed Breastplate,Heavy Chestwear,Epic,Tier IV,400-500
Blessed Helm,Heavy Headwear,Epic,Tier IV,400-500
Heretic Cloth Boots,Light Footwear,Epic,Tier IV,400-500
Heretic Cloth Gloves,Light Glove,Epic,Tier IV,400-500
Heretic Cloth Pants,Light Legwear,Epic,Tier IV,400-500
Ancient Purifier,Great Axe,Epic,Tier IV,400-500
Valor's Destiny,Sword,Epic,Tier IV,400-500
Anatul's Rebirth,Great Axe,Epic,Tier IV,400-500
Tipping Point,Great Axe,Rare,Tier III,400
Heretic Cloth Coat,Light Chestwear,Epic,Tier IV,400-500
Soulfire Damascus,Sword,Epic,Tier IV,400-500
Heretic Cloth Hat,Light Headwear,Epic,Tier IV,400-500
Visions of Chaos,Sword,Epic,Tier IV,400-500
Grim Edict,Sword,Epic,Tier IV,400-500
True Path,Sword,Epic,Tier IV,400-500
Muffled Wail,Sword,Epic,Tier IV,400-500
Justicar,Sword,Epic,Tier IV,400-500
Heretic Leather Boots,Medium Footwear,Epic,Tier IV,400-500
Gravebreaker,Sword,Epic,Tier IV,400-500
Forgotten Ranger's Recurve,Bow,Epic,Tier IV,400-500
Gracious Host,Sword,Epic,Tier IV,400-500
Dryad's Chosen Bow,Bow,Epic,Tier IV,400-500
Luminous Longbow,Bow,Epic,Tier IV,400-500
Hastate,Sword,Epic,Tier IV,400-500
Master Ranger's Maplewood Recurve,Bow,Uncommon,Tier IV,400-500
Herald of the Storm,Bow,Epic,Tier IV,400-500
Dragonfang Recurve,Bow,Epic,Tier IV,400-500
Gravewatcher,Bow,Epic,Tier IV,400-500
Cure for Rebirth,Bow,Rare,Tier IV,400-500
Blighted Recurve,Bow,Rare,Tier IV,400-500
Baroness,Bow,Epic,Tier IV,400-500
Foresight of the Elders,Bow,Rare,Tier IV,400-500
Wounded Pride,Musket,Epic,Tier IV,400-500
Starsight Rifle,Musket,Epic,Tier IV,400-500
Mutineer's Reward,Fire Staff,Rare,Tier IV,400-500
Dragon's Breath,Fire Staff,Epic,Tier IV,400-500
Overgrown Fire Staff,Fire Staff,Rare,Tier IV,400-500
Cannonlighter,Fire Staff,Epic,Tier IV,400-500
Light of Corruption,Fire Staff,Epic,Tier IV,400-500
Immolation,Fire Staff,Rare,Tier IV,400-500
Heatseeker,Fire Staff,Rare,Tier IV,400-500
Grove Keeper's Fire Staff,Fire Staff,Epic,Tier IV,400-500
Funeral Pyre,Fire Staff,Epic,Tier IV,400-500
Choking Gasp,Fire Staff,Epic,Tier IV,400-500
Blood Boiling Fire Staff,Fire Staff,Rare,Tier IV,400-500
Baric's Sunstaff,Fire Staff,Epic,Tier IV,400-500
A Terrible Thought,Fire Staff,Epic,Tier IV,400-500
Acolyte's Corrupted Fire Staff,Fire Staff,Rare,Tier IV,400-500
Watcher's Right Hand,Hatchet,Epic,Tier IV,400-500
Velian,Hatchet,Epic,Tier IV,400-500
Breachfire Greatstaff,Fire Staff,Epic,Tier IV,400-500
Nature's Wrath,War Hammer,Epic,Tier IV,400-500
Hellsmasher,War Hammer,Rare,Tier IV,400-500
Sea of Doubt,War Hammer,Epic,Tier IV,400-500
Prismatic Maul,War Hammer,Rare,Tier IV,400-500
Restless Night,War Hammer,Rare,Tier IV,400-500
Lightning's Fist,War Hammer,Uncommon,Tier IV,400-500
Keepbreaker,War Hammer,Epic,Tier IV,400-500
Hammer of the Corrupted Champion,War Hammer,Rare,Tier IV,400-500
Breachcrusher,War Hammer,Epic,Tier IV,400-500
Forgotten Experiment,War Hammer,Rare,Tier IV,400-500
Guardian's Warhammer,War Hammer,Epic,Tier IV,400-500
Cleaveguard,War Hammer,Epic,Tier IV,400-500
Prideful Misstep,War Hammer,Epic,Tier IV,400-500
Cannibal's Hammer,War Hammer,Epic,Tier IV,400-500
Untold Secrets,Hatchet,Epic,Tier IV,400-500
Spear of the Elder Shaman,Spear,Epic,Tier IV,400-500
Buccaneer's Blunt Edge,War Hammer,Epic,Tier IV,400-500
The Surgeon's Scalpel,Spear,Rare,Tier IV,400-500
Truestrke,Spear,Epic,Tier IV,400-500
Tendril of the Breach,Spear,Epic,Tier IV,400-500
Temple Explorer's Pike,Spear,Epic,Tier IV,400-500
Spear of the Lost Queen,Spear,Epic,Tier IV,400-500
Sentinel Captain's Spear,Spear,Epic,Tier IV,400-500
Icewrought Pike,Spear,Rare,Tier IV,400-500
Pike of the Grand Duelist,Spear,Rare,Tier IV,400-500
Marooned Mariner's Spear,Spear,Epic,Tier IV,400-500
Piercing Flame,Spear,Epic,Tier IV,400-500
Living Spear,Spear,Epic,Tier IV,400-500
Leandra's Demise,Spear,Epic,Tier IV,400-500
Invader's Will,Spear,Rare,Tier IV,400-500
Shattered Shaft,Spear,Epic,Tier IV,400-500
Syndicate Chronicler Hatchet,Hatchet,Rare,Tier III,395
Covenant Excubitor Fire Staff,Fire Staff,Rare,Tier III,395
Marauder Ravager Bow,Bow,Rare,Tier III,395
Syndicate Chronicler Fire Staff,Fire Staff,Rare,Tier III,395
Marauder Ravager Fire Staff,Fire Staff,Rare,Tier III,395
Covenant Excubitor Hatchet,Hatchet,Rare,Tier III,395
Marauder Ravager Hatchet,Hatchet,Rare,Tier III,395
Syndicate Chronicler Musket,Musket,Rare,Tier III,395
Covenant Excubitor Bow,Bow,Rare,Tier III,395
Covenant Excubitor Musket,Musket,Rare,Tier III,395
Syndicate Chronicler Bow,Bow,Rare,Tier III,395
Covenant Excubitor Longsword,Sword,Rare,Tier III,395
Marauder Ravager Musket,Musket,Rare,Tier III,395
Covenant Excubitor Greataxe,Great Axe,Rare,Tier III,395
Syndicate Chronicler Greataxe,Great Axe,Rare,Tier III,395
Marauder Ravager Greataxe,Great Axe,Rare,Tier III,395
Adventurer's Musket,Musket,Uncommon,Tier III,395
Marauder Ravager Life Staff,Life Staff,Rare,Tier III,395
Adventurer's War Hammer,War Hammer,Uncommon,Tier III,395
Flutter,Sword,Epic,Tier III,390
Adventurer's Bow,Bow,Uncommon,Tier III,395
Adventurer's Ring,Jewelry - Ring,Uncommon,Tier III,395
Adventurer's Amulet,Jewelry - Amulet,Uncommon,Tier III,395
Beam Eternal,Life Staff,Rare,Tier III,395
Adventurer's Longcoat,Medium Chestwear,Uncommon,Tier III,395
Shatterstar Amulet,Jewelry - Amulet,Rare,Tier III,395
Adventurer's Fire Staff,Fire Staff,Uncommon,Tier III,395
Brightwood Sharpshooter,Musket,Rare,Tier III,395
Thundersnow,Ice Gauntlet,Legendary,Tier IV,375
Empty Heart Amulet,Jewelry - Amulet,Epic,Tier III,395
Cutlass Keys Slicer,Sword,Rare,Tier III,395
Sola Fide Token,Jewelry - Amulet,Epic,Tier III,370
Calcified Cleaver,Hatchet,Rare,Tier III,370
Great Lion's Mane,Jewelry - Amulet,Epic,Tier III,375
Whisper from the Frozen Vale,Ice Gauntlet,Rare,Tier III,375
Spread of Malice,Spear,Rare,Tier III,375
Brightclaw,Spear,Rare,Tier III,375
Grand Executioner's Aid,Great Axe,Uncommon,Tier III,390
Gravekeeper's Glove,Ice Gauntlet,Rare,Tier III,375
Overseer's Servant,Rapier,Uncommon,Tier III,375
Defender of Darkness,War Hammer,Rare,Tier III,375
Deceit of the Defiler,Rapier,Rare,Tier III,375
Desecrated Breastplate,Heavy Chestwear,Common,Tier III,350-400
Band of Guardians,Jewelry - Ring,Epic,Tier III,355
Smoldering Rapier,Rapier,Uncommon,Tier III,360
Flare Spark,Fire Staff,Rare,Tier III,355
Desecrated Helm,Heavy Headwear,Common,Tier III,350-400
Hardy Fisherman's Trousers,Light Legwear,Rare,Tier III,360
Adventurer's Hatchet,Hatchet,Uncommon,Tier III,355
Adventurer's Ice Gauntlet,Ice Gauntlet,Uncommon,Tier III,355
Hardy Fisherman's Hat,Light Headwear,Rare,Tier III,360
Cryptbreaker,War Hammer,Rare,Tier III,375
Guardian's Talisman,Jewelry - Amulet,Epic,Tier III,360
Purified Sentiment,Jewelry - Amulet,Epic,Tier III,370
Ritualist's Lancet,Spear,Epic,Tier III,360
Hardy Fisherman's Boots,Light Footwear,Rare,Tier III,360
Hardy Fisherman's Gloves,Light Glove,Rare,Tier III,360
Zion's Prayer Ring,Jewelry - Ring,Epic,Tier III,360
Mascot of the Dawn,Jewelry - Amulet,Epic,Tier III,360
Malikor's Last Grasp,Ice Gauntlet,Rare,Tier III,360
