name,telephone,mail,website
BUHL TC,None,tennisclub.buhl@orange.fr,None
ASPTT  MULHOUSE,0389644454,mulhouse@asptt.com,http://www.mulhouse.asptt.com
CCA ROUFFACH,0389785422,ccarouffachtennis.boris@gmail.com,http://www.tennisrouffach.fr
MULHOUSE SP REUNIS ELECT GAZ,0389446161,None,None
T.C.DANNEMARIE,0647598135,tcdannemarie@gmail.com,http://club.quomodo.com/tc-dannemarie
ASIET HERRLISHEIM,0389492030,asiet.tennis@hotmail.fr,http://ballejaune.com/club/asietherrlisheim
ASC TC RIEDISHEIM,0389440868,tcriedisheim@gmail.com,https://www.facebook.com/tcriedisheim
ETUEFFONT T.C. MUNICIPAL,0619235034,None,None
AS ILLZACH MODENHEIM,0389505190,jblanquin@yahoo.fr,None
RHODIA CLUB DE CHALAMPE,0389262160,None,None
AS ENTREMONT RIXHEIM,0389642737,asertennispadel@gmail.com,http://www.club.fft.fr/asertennis
VILLEVAUDE TC,0660422562,tcvillevaude@gmail.com,None
VILLEPARISIS USM,0160219912,tc.villeparisis@fft.fr,http://www.club.fft.fr/tc.usmvilleparisis
VEMARS TC,0761016439,tc.vemars@fft.fr,None
VAIRES US,0695672431,usvairestennis77@gmail.com,http://www.usvaires-tennis.fr
TORCY TC,0160066590,tennisclubdetorcy@wanadoo.fr,http://www.tennisclubtorcy.fr/
THORIGNY AJ,0160071328,Thorigny.ajttennis@gmail.com,http://www.club.fft.fr/thorigny.aj
TENNIS MARNAY,0684167546,None,http://www.marnaytennis.fr/
VAL DE LOUE TENNIS CLUB,None,tcarcetsenans@gmail.com,http://tennisarcetsenans.e-monsite.com/
AS LOISIRS SOPPE LE HAUT,None,aslsoppe@free.fr,http://aslsoppe.free.fr
4PADEL SAINT LOUIS,0389913271,None,None
TENNIS CLUB FONTAIN,None,None,http://www.club.fft.fr/tc-fontain
TENNIS DU GRAND BESANCON,0381886829,tgb@fft.fr,https://www.tennis-grand-besancon.fr/
4PADEL MULHOUSE,0369761224,mulhouse@lefive.fr,http://www.lefive.fr
AS CULT SPORT PEUGEOT MULHOUSE,0389099020,None,None
TC ROULANS POULIGNEY LUSANS,None,None,http://www.roulanstennis.fr
TENNIS CLUB MONTGESOYE,0381622314,None,None
TENNIS CLUB MAMIROLLE MONTFAUCON,0677622709,None,http://www.club.fft.fr/tc.mamirolle
TENNIS CLUB DE MEREY,None,None,None
TENNIS CLUB EPEUGNEY,None,tennis.epeugney@gmail.com,None
NOVILLARS U.S. TENNIS,0381556541,novillars-tennis@wanadoo.fr,None
TENNIS CLUB DE LA VALLEE D'ORNANS,0381571027,club.ornans@fft.fr,https://www.facebook.com/Tennis-club-de-la-vall%C3%A9e-d-Ornans-577605972307952/
TC VALDAHON,0681823437,joineau.laure@orange.fr,None
NANCRAY TENNIS LOISIRS,0381630325,club.tl-nancray@fft.fr,http://www.tennis-loisirs-nancray.fr
MONTFAUCON T.C.,None,None,http://www.tennis-club-montfaucon.fr
SAONE TENNIS CLUB,None,joineau.laure@orange.fr,http://www.saonetennisclub.fr
MISEREY SALINES A.S.C.,0632953811,vava.badot@orange.fr,http://www.club.fft.fr/miserey-tennis/
TENNIS CLUB DE PIREY,0606825777,james.walters@sfr.fr,http://www.club.fft.fr/tc-pirey
FRANOIS-SERRE-LES SAPINS T.C.,0381590358,club.franois@fft.fr,http://www.club.fft.fr/tc-franois/
FOYER RURAL DE FRAISANS SECTION TENNIS,None,None,None
ERROR,https://tenup.fft.fr/club/51250040,,
E.S.S. FERJEUX BESANCON,0628216960,club.saint-ferjeux@fft.fr,https://tennis-saint-ferjeux.fr/
BESANCON TENNIS CLUB,None,btc.2012@orange.fr,http://www.besancon-tennis-club.fr/
SAINT VITOISE TENNIS U.S.,0683014896,ussv25@hotmail.fr,http://www.club5.fft.fr/saint-vit/
RIOZ T.C.,0384919030,None,None
BAUME LES DAMES T.C.,None,None,None
ROCHOIS TENNIS CLUB,0616552398,tennisclubrochois@gmail.com,https://tennis-rochelezbeaup.pagesperso-orange.fr
BAJH SAS SPOON CENTER THISE,0671028451,contact.thise@spoon-center.fr,None
AUXON T.C.,None,artemysmolina@free.fr,http://www.tcauxon.fr
AT2 THISE TENNIS,0621491309,guillemin.emmanuel@sfr.fr,http://www.club.fft.fr/thise-tennis/
AMANCEY TC DU PLATEAU,0381573687,None,None
SURVILLIERS (AVENIR DE),0670013896,tennisurvilliers@gmail.com,None
ST THIBAULT DES VIGNES TC THEOBALDIEN,0608662884,tennis.aost@saintthibaultdesvignes.info,http://www.saintthibaultdesvignes.info/tennis
GRANDFONTAINE T.C.,0381584762,None,None
SERVOIS TENNIS CLUB,0952904585,tcservois@gmail.com,http://www.club.fft.fr/tc.servois/56600133_a/cms/index_public.php?us_action=show
ASS Comité des Fêtes de CUSSEY sur l'OGNON,0381576675,tennisclubcusseyetuz@gmail.com,https://ba7036.wixsite.com/tennisclubcusseyetuz
SAINT MARTIN DU TERTRE TC,0681572358,None,None
COMITE DOUBS TENNIS,0381887333,celine.grosos@fft.fr,None
PUISEUX TC,None,tcpf95@gmail.com,http://tcpf.fr/
PONTCARRE TC,0164663155,None,None
PRESLES TC,0130345298,tcpresles95@gmail.com,http://www.club.fft.fr/presles-tennis-club
ROISSY EN BRIE AST,0164408500,tc.roissy@fft.fr,http://www.club.fft.fr/roissyenbrie
OTHIS CO,0608267789,tennisclubothis@gmail.com,None
DEVECEY TENNIS CLUB,0381567929,tcdevecey@gmail.com,http://www.club.fft.fr/devecey
MOUSSY LE VIEUX TC,None,tcmv.77230@gmail.com,None
NESLOIS TC,0130347171,tcneslois@fft.fr,http://www.club.fft.fr/tc.neslois
MONTEVRAIN AST,0160364040,astmontevrain@yahoo.fr,http://www.club.fft.fr/ast.montevrain/
ASSOCIATION SPORTIVE DE CHEMAUDIN TENNIS,0628263210,None,None
MITRY MORY TC2M,None,tc.mitrymory@fft.fr,http://www.club.fft.fr/tc.mitrymory
MOUSSY LE NEUF ESPOIR SPORTIF,0673386578,tc.moussyleneuf@fft.fr,https://tennis-idf.fr/moussyleneuf
MOURS TENNIS,0642948571,None,None
MAUREGARD OMSL,0160034248,None,None
MARLY LA VILLE TENNIS CLUB,0621083676,35950008@fft.fr,http://www.club.fft.fr/marly-la-ville-tc
LYS CHANTILLY TC,None,tennisclubdulys@gmail.com,None
LUZARCHES (TC),0620330938,bureau@tc-luzarches.fr,http://tc-luzarches.fr
LOUVRES (CMO),None,tennis@cmol.fr,http://www.club.fft.fr/cmolouvrestennis
LAGNY POMPONNE TC,0663899230,president@tclp-lagny.net,http://tclp-lagny.net
GUERMANTES TC,0160076385,tc.guermantes@fft.fr,http://www.club.fft.fr/tcguermantes/
LAMORLAYE TENNIS CLUB,0344215801,tennis@club-lamorlaye.fr,http://tennisclublamorlaye.wordpress.com/
GOUVERNES TCM,0623533080,tcm.gouvernes@free.fr,http://www.club.fft.fr/tcm.gouvernes
GOLF LYS CHANTILLY,0344212600,contact@lys.golf,None
FOSSES (AT),0664919537,atfosses@gmail.com,http://www.club.fft.fr/atfosses
FERRIERES EN BRIE TC,0164663038,tc.ferrieres@fft.fr,http://www.club.fft.fr/tc.ferrieres
PERSAN (TC),None,tcpersan@gmail.com,None
ST MARD TENNIS,None,s.m.t@fft.fr,http://club.fft.fr/tc.stmard
DAMMARTIN EN GOELE TC LA GOELE,0160035250,tennis.dammartin@fft.fr,https://tennis-idf.fr/dammartintennis/
DAMPMART TC,None,None,None
CROISSY BEAUBOURG AT,0683916906,tc.croissybeaubourg@fft.fr,http://www.club.fft.fr/croissybeaubourg
CONCHES LAGNY TC,0164024993,tennis.conches@gmail.com,None
COYE LA FORET T.C,None,tennisclub.coyelaforet@orange.fr,http://www.club.fft.fr/tc.coye-la-foret
MESNILOIS TENNIS CLUB,None,None,None
COMPANS TC,0670365875,tcc77290@gmail.com,None
PLAILLY TENNIS CLUB,None,duranton@wanadoo.fr,http://ballejaune.com/club/tcplailly
CLAYE SOUILLY TC,0160263895,tc.claye@free.fr,http://club.fft.fr/tc.claye.souilly
CHANTELOUP AS,0679279172,None,None
BUSSY TC VAL DE BUSSY,0164767926,tcvb2@wanadoo.fr,http://www.club.fft.fr/tc.valdebussy
AXA SPORTS LOISIRS,0160059191,christian.chambily@axa.fr,None
ANNET SUR MARNE TCM,0752033051,tcmannet@orange.fr,http://www.fft.fr/tcmannet
ZI CROISSY,0160059191,comite.seine-et-marne@fft.fr,http://www.comite.fft.fr/seine-et-marne
BEAUMONTOIS (TC),0134701861,tcbeaumontois95@gmail.com,http://www.club.fft.fr/tcbeaumont95
VINCENNES C.A.,0143281815,direction@cavincennes.club,https://www.cavincennes.fr/
VILLIERS LE BEL TC,0139941371,tennisvilliers95@gmail.com,https://www.facebook.com/tennisclubvillierslebel
VILLEPINTE TENNIS,0143841875,steph.leonard@free.fr,http://www.club.fft.fr/villepinte-tennis
VILLENEUVE-LA-GARENNE (AMICALE),0147948388,avgtennis92@gmail.com,http://www.club.fft.fr/avg
CHARNY TCM,None,None,None
CHAUMONTEL TC,None,tennis.club.chaumontel@voila.fr,http://www.club.fft.fr/tennis.chaumontel
VILLEMOISSON TENNIS,0169042665,tennisclubvillemoisson@gmail.com,http://www.club.fft.fr/tc.villemoisson/
VILLE D'AVRAY (US),0147504355,usvaadm@gmail.com,http://usva.asso.free.fr
VERNEUIL A.C.,0139717204,vac.tennis@orange.fr,https://facebook.com/verneuilac.tennis
VESINET IBIS TENNIS CLUB,0139524430,vitc.levesinet@wanadoo.fr,http://www.club.fft.fr/tc.ibis
VAUREAL TC,0650970651,tcvaureal@gmail.com,http://www.club.fft.fr/tc.vaureal
BUXERIEN TC,0134421764,buxerien-tc@fft.fr,http://www.club.fft.fr/tc.buxerien
USM DE GAGNY,0143328879,usmgagnytennis@fft.fr,http://www.club.fft.fr/usmgagnytennis
USM AUDONIENNE,0140113842,usmatennis@gmail.com,http://www.club.fft.fr/usma.tennis
V.G.A. SAINT MAUR,0148854852,vgatennis@vga-fr.org,http://www.vgatennis.fr
VAUCRESSON (TC),0147010120,clubinfo@tennis-vaucresson.com,http://www.tennis-vaucresson.com
US. NATIXIS,None,d.rousseau@natixis.com,None
GOUVIEUX TENNIS CLUB,0344582107,tc.gouvieux@fft.fr,http://www.club.fft.fr/tc.gouvieux
US VILLEJUIF,0952941241,usvtennis@free.fr,http://www.usvtennis.com
US ORMESSON,0637245178,uso.tennis@orange.fr,http://www.tennisormesson.fr
US IVRY,0146581865,usivry.tennis@gmail.com,http://usitennis.fr/
US GENTILLY,None,tennisusgentilly@gmail.com,None
US FONTENAY,0672391010,usftennis@hotmail.fr,https://usftennis2.monsite-orange.fr/
US CRETEIL,None,creteil.tennis@gmail.com,http://www.club.fft.fr/us-creteil-tennis_new
UNIVERSITAIRE DE FRANCE S.C..,None,tennis@scuf.org,http://www.scuf.org
UNION SPORTIVE DAVRON-TENNIS,0130543656,tennis@davron.fr,http://www.davron.fr/convivialite/loisirs-et-vie-associative
US ALFORTVILLE,0143754262,usa@tennis-alfortville.com,http://www.tennis-alfortville.com
US Bures sur Yvette Tennis,None,usby.tennis@free.fr,http://www.usbytennis.fr/
CHAMPAGNE (TC),0130345565,tcchampagne95@gmail.com,http://www.club.fft.fr/tcchampagne
UA SOCIETE GENERALE,None,uasg.juan.mas@orange.fr,http://www.uasg.fr/
U.S.M. ROCQUENCOURT,0139549038,usmr-tennis@wanadoo.fr,http://www.club.fft.fr/usmrocquencourt
U.S.M.VIROFLAY TENNIS,0130245391,tennis@usmviroflay.fr,http://tennis.usmviroflay.fr/
U.S.O. ATHIS MONS,0606870293,contact-tennis@usoam.fr,http://www.tennis.usoam.fr/
U.S. VESINET,0139522720,usv-tennis@orange.fr,http://www.usv-tennis.net
U.S. RIS ORANGIS,0169432132,tennis@usro.fr,http://www.club.fft.fr/usro-tennis/
U.S. PECQ SECTION TENNIS,0139769114,uspecqtennis@fft.fr,http://www.club.fft.fr/us.pecq
Tennis club de TIGERY,0652253816,tigerytennis@gmail.com,https://www.facebook.com/Tennis-Club-Tigery-102718711079756/
U.S GRIGNY TENNIS,0169061920,None,http://www.club.fft.fr/us.grigny
U.S. CARRIERES SUR SEINE,0625785402,tennis@usc.asso.fr,http://www.usctennis-carrieres.com
Tennis Evolutif du Tremblay,0683117782,tet94@free.fr,None
U.S. MARLY LE ROI,0139160827,usmr.tennis@orange.fr,http://www.club.fft.fr/us-marly-le-roi
Tennis Club VILLIERS SUR ORGE,None,tcvilliers.sur.orge@gmail.com,http://club.quomodo.com/cov_tennis/accueil.html
Tennis Club Sportif de Brunoy,0686312973,tennisclub-brunoy@orange.fr,http://www.club.fft.fr/tc.sportifdebrunoy
TOTAL (TC),0130825582,jean-louis.carre@outlook.com,None
TRAPPES PASSING SHOT,None,tennistrappes78@gmail.com,None
TENNIS SPORTING CLUB,0143061214,info@tennis-sporting.fr,http://www.tennis-sporting.fr
TENNISPORT,0675034888,tennisport@orange.fr,http://www.club.fft.fr/tennisport
TENNIS PARIS XV,0145335699,tennisparis15@gmail.com,http://www.tennisparis15.com
TENNIS OPEN PARIS,None,stephane.marchetti@orange.fr,http://www.club.fft.fr/tennis-open-paris
TENNIS LES TEMPLIERS LAGNY,None,TLTL60@outlook.fr,None
TENNIS ENERGY,0148581961,tennis.energysports@orange.fr,http://www.tennisenergy.com
TENNIS CLUB WISSOUS 91,0160131281,secretariatwissoustennis@gmail.com,https://www.tennisclubwissous91.fr/
TENNIS CROSNOIS,0953889435,tennis.crosnois@fft.fr,http://club.fft.fr/tenniscrosnois
TENNIS ECQUEVILLY CLUB,0625548505,escetennis789@gmail.com,None
TENNIS DE SUCY EN BRIE,0145900140,tennissucyenbrie@free.fr,https://www.tsb94.com
TENNIS CLUB MONTSOURIS,None,tcmontsouris@sfr.fr,None
TENNIS CLUB DU XIIIème,0770124601,tennisclub13eme@orange.fr,http://www.tennisclub13.com
TENNIS CLUB MORSAINTOIS,0160165128,mstennis@fft.fr,http://www.club.fft.fr/tennismorsaintois
TENNIS CLUB DE VILLIERS,None,tenniscv@hotmail.com,None
TENNIS CLUB DU 10 EME,0675617538,contact@tc10.fr,http://www.tc10.fr
ADAMOIS (LE TENNIS),0134691863,letennisadamois@gmail.com,https://tennis-adamois.fr/
TENNIS CLUB DE SAINT MAUR,0145909264,tcsm.tennis@gmail.com,https://www.tennisclubdesaintmaur.fr/
TENNIS CLUB DE MAURECOURT,0139270566,tcmaurecourt@free.fr,http://tcmaurecourt.free.fr
TENNIS CLUB DU 16EME,0145257272,contact@tc16.fr,https://www.tc16.fr
TENNIS CLUB DE CHOISY LE ROI,0148520587,contact@tc-choisy.fr,http://www.tc-choisy.fr
TENNIS CLUB DE CHARENTON,0143680956,tennisclubcharenton@gmail.com,http://www.club.fft.fr/tccharenton
TENNIS CLUB BREUILLET,0617795485,club.tennisbreuillet@gmail.com,http://www.tennis-breuillet.fr
TENNIS CLUB DE PARIS,0146477390,contact@tennisclubdeparis.fr,http://www.tennisclubdeparis.fr
TENNIS CLUB DE BONNEUIL,None,tennisclubbonneuil@gmail.com,http://www.club.fft.fr/tennisclubbonneuil94
TENNIS CLUB AMIOT,0142422255,admin@tc-amiot.fr,http://tennisclubcolombes.com
TENNIS CLUB BALLAINVILLIERS,0160490481,as.ballainvilliers.tennis@gmail.com,https://club.fft.fr/tcballainvilliers/
TENNIS BADMINTON CLUB BIEVRE XIII,0145355470,None,http://clubbievrexiii.org
TENNIS AERO ZP,None,tennis.aeroZP@gmail.com,http://club.fft.fr/tennis.aerozp/
TENNIS 17,0670561950,c.tennis17@orange.fr,None
TENNIS CLUB 11e - ASSOCIATION SPORTIVE ST BERNARD,0685723245,tc11-assb@fft.fr,http://www.club.fft.fr/tc11
TENNIS 15,None,tennis.15@orange.fr,http://www.tennis15.com/
TCAV,0145975918,None,http://www.club.fft.fr/tc.ablon
TC VILLEMOMBLE SPORTS,0963670296,33930273@fft.fr,http://www.club.fft.fr/tcvillemomblesports
TC VILLECRESNES,0145994750,tennisclubvillecresnes@gmail.com,https://tcvillecresnes.fr/
TC VAUJOURS,0621965363,tcv.ludo@hotmail.com,http://www.club.fft.fr/tc.vaujours
TC THIAIS BELLE EPINE,0612706133,tctbe@fft.fr,http://www.tctbe.fr
TC TREMBLAYSIEN,0148613221,tctremblaysien@fft.fr,http://www.club.fft.fr/tctremblay
TC THIAIS,0148848979,contact@tcthiais.fr,http://www.tennisclubthiais.fr
TC ST REMY L'HONORE,None,tcsrhsport@gmail.com,None
TC ST MAURICE,0767771455,tcsm94410@gmail.com,http://www.tennis-saint-maurice.fr
TC SEVRANAIS,0768070240,tennis.sevran.cd@gmail.com,http://www.club.fft.fr/tc-sevran/
TC SANTENY,0143861986,tcsanteny@gmail.com,http://www.club.fft.fr/tc.santeny
TC ROSERAIE,0146634415,guillaumecadi@gmail.com,http://tcdr.free.fr
TC ROMAINVILLE,0683784521,tcromainville@gmail.com,http://www.tcromainville.fr
TC PERIGNY,None,tcperigny94@outlook.fr,http://www.club.fft.fr/tcperigny-sur-yerres
TC PANTIN,None,tennis.club.pantin@gmail.com,http://www.club.fft.fr/tcpantin
TC NOKIA Paris Saclay,0160407495,tennisvx@gmail.com,None
TC PERREUX,0148725869,tc.perreux@fft.fr,http://www.tcperreux.com
TC NOGENT,0148712906,tcnogent@wanadoo.fr,http://www.club.fft.fr/tcnogent
TC MAZIERES DE DRAVEIL,0169424505,31910180@fft.fr,http://www.club.fft.fr/tc-mazieres/
TC NEUILLY SUR MARNE,0143085805,tennistcnm@free.fr,http://www.club.fft.fr/tcnm
TC MUNICIPAL DE RUNGIS,0146860032,tcmrungis@gmail.com,http://www.club.fft.fr/tcmrungis
TC MAROLLES,0680327582,tcmarollesenbrie@outlook.fr,http://www.club.fft.fr/tcmb94
TC LOISIR NONNEVILLE,0148663000,tcloisirnonneville@fft.fr,http://www.club4.fft.fr/tcln
TC LIVRY GARGAN,0143306980,tclg@fft.fr,http://www.club.fft.fr/tclg
TC LIMEIL BREVANNES,0145691408,pascal.grenier4@wanadoo.fr,http://club.fft.fr/tecli
TC LES LILAS,0148445176,tc.leslilas@fft.fr,http://tcleslilas.fr
TC LA VARENNE,0148835603,tc.lavarenne@gmail.com,https://www.tennis-lavarenne.fr
TC GOURNAY,0143058684,tc.gournay@fft.fr,http://www.club.fft.fr/tcgournay
TC GERMINOIS,0325756891,None,None
TC DUGNY,0660978929,tcdugny@fft.fr,http://www.club6.fft.fr/tc-dugny
TC LA CELLE SAINT CLOUD,0139183060,tennisclubcsc@orange.fr,http://tennisclub_csc.fr
TC DU GRAND VERSAILLES,0139502652,tcgrandversailles@hotmail.com,http://www.tcgrandversailles.fr
TC DE LA FERME DE MANDRES,0145987852,tcfm@tcfm.fr,http://www.tcfm.fr
TC CRETEIL MONT MESLY,0648073667,tennistccm@gmail.com,https://www.tennis-tccm.com
TC COURNEUVIEN,0607284321,tcc93@free.fr,http://tccourneuvien.fr
TC Chevry 2 - Gif sur Yvette,0160122002,tc.chevry2@fft.fr,http://www.club.fft.fr/tennisclubchevry2/
TC CLICHY SOUS BOIS,0766610239,tennisclichy93@gmail.com,http://www.tcclichysousbois.com
TC COMITE DE PARIS,None,None,https://tennis-idf.fr/comiteparistennis/
ERROR,https://tenup.fft.fr/club/57780146,,
TC CHEMINOTS ET VILLENEUVOIS,0143895519,tccv94190@gmail.com,http://www.club.fft.fr/tccv94
TC BANQUE DE NEUFLIZE,None,None,None
TC BRY,0148810269,tc.bry@fft.fr,https://www.tcbry.com/
T.M. MORANGIS,0651214064,tm.morangis@fft.fr,http://club.fft.fr/tm.morangis
T.S. FOREST-HILL VERSAILLES,0139530909,dominique.morin@forest-hill.com,None
TAVERNY (CCT),0139603752,taverny-tc@fft.fr,http://www.club.fft.fr/taverny-tc
T.C.PLAINE DE LA PLAINE MONCEAU  ET BATIGNOLLES,None,tcpmb17@orange.fr,None
T.U. VERRIERES LE BUISSON,0683475842,tuvb.tennis@fft.fr,http://tennis-idf.fr/verrieres/
T.C.M. LE MESNIL SAINT DENIS,None,president.tcm@gmail.com,http://www.club.fft.fr/tcm.mesnilsaintdenis
T.C.M. CHILLY-MAZARIN,0975462727,tcm-chilly-mazarin@fft.fr,http://www.club.fft.fr/tc.chilly-mazarin
T.C.M. ETIOLLES,None,julienmurat@hotmail.fr,http://tcetiolles.e-monsite.com/
T.C.E.,None,tce14@free.fr,http://www.tce14.com/
T.C.M. BOIS D'ARCY,0134601819,tcmba@fft.fr,http://www.club.fft.fr/tcmba
T.C. XII BERCY,0143401776,tc12bercy@fft.fr,https://tc12bercy.fr/
T.C. YERRES,0169493119,tcy2@wanadoo.fr,http://tennis-clubyerres.sportsregions.fr/
T.C. VOISINS LE BRETONNEUX,0130436658,tennisclubvoisins@orange.fr,http://www.tennisclubvoisins.com/fr/
T.C. VILLEBON,0160106273,tc.villebon@fft.fr,http://www.club.fft.fr/tc-villebon
T.C. VILLENNES,0139755118,tcvillennes@gmail.com,http://www.tennis-club-villennes.fr
T.C. VILLEPREUX,0954317343,tennisclubvillepreux@gmail.com,http://www.tennisclubvillepreux.com
T.C. VERSAILLAIS,None,None,None
T.C. VARENNES JARCY,None,tennisclubvarennes@gmail.com,https://tennisclubvarennes.wixsite.com/tcvj
T.C. VELIZY VILLACOUBLAY,0609118040,tcvv78140@gmail.com,http://www.tennis-club-velizy.com
T.C. VERNOUILLET,0952585550,tcvernouillet@gmail.com,http://tcvernouillet.e-monsite.com/
T.C. TOURNEROUE,None,mfbchr78@gmail.com,None
T.C. TRIEL,0950862758,tctriel@fft.fr,http://club.fft.fr/tc.triel
T.C. ST MAURICE MONTCOURONNE,None,tcsmm91@gmail.com,http://www.club.fft.fr/tcsmm91
T.C. ST REMY LES CHEVREUSE,0130526498,tennisclubsaintremy78@gmail.com,http://www.club.fft.fr/tcsr
T.C. ST AUBIN,None,tc.saint.aubin@gmail.com,http://www.club.fft.fr/tc.saint.aubin
T.C. ST LOUIS DE POISSY,0139115074,tcslp@tennispoissy.com,http://www.tennispoissy.com
T.C. ST FRANCOIS D'ASSISE,None,tennis.dsfa@gmail.com,https://tcsfa.fr/
T.C. SOISY SUR SEINE,0160757373,tcsoisysurseine@gmail.com,http://www.tcsoisysurseine.fr
T.C. SAINT MARC ORGEVAL,0614074834,tcsm.orgeval@gmail.com,https://www.facebook.com
T.C. PARAY TENNIS,0789312206,tcparay91550@yahoo.com,http://club.fft.fr/tc.paray/
T.C. PLAISIR,0130551629,club.tc-plaisir@fft.fr,http://www.tc-plaisir.com
T.C. OLLAINVILLE,None,tcollainville91@fft.fr,http://www.club.fft.fr/tc.ollainville91/
T.C. PALAISEAU,0679865727,tcpalaiseau@orange.fr,http://www.club.fft.fr/tc-palaiseau
T.C. ORSAY,0160145776,tc.orsay@fft.fr,http://www.tenniscluborsay.fr/
T.C. MONTGERON,None,tc.montgeron@fft.fr,http://www.club.fft.fr/tc.montgeron
T.C. MONTLHERY LINAS,0169011959,estellebuchmann.tcml@outlook.fr,http://club.fft.fr/tc.montlhery-linas
T.C. MORAINVILLIERS-BURES,0622707928,sec.tcmb@tcmb.fr,http://www.tcmb.fr
T.C. MONTESSON,0130532411,tc.montesson@fft.fr,https://tcmontesson.net
T.C. MAULE,0130997966,tc.maule@gmail.com,https://fr-fr.facebook.com/pages/category/Stadium--Arena---Sports-Venue/TC-MAULE-531239067219038/
T.C. MAUREPAS,0134612112,tcmaurepas@fft.fr,http://www.club.fft.fr/tcmaurepas
T.C. NEAUPHLE LE CHATEAU,0134893190,tc.neauphle@free.fr,None
T.C. MARCOUSSIS,0954409424,tcminscription@free.fr,http://www.club3.fft.fr/tc.marcoussis
T.C. MAREIL MARLY,0130824328,tcmm.secretariat@gmail.com,http://www.tcmm.free.fr/
T.C. MAGNY LES HAMEAUX,0130526948,tcmagny@gmail.com,https://club.fft.fr/tcmh/57780032_a/cms/index_public.php?us_action=show_note_siteu0026login_off=1u0026ui_id_site=1
T.C. LISSES,0164977570,tclisses@sfr.fr,http://club.fft.fr/tc.lisses
T.C. LEVIS ST NOM,0687111999,38780133@fft.fr,None
T.C. LONGJUMEAU,0164489532,tclongjumeau@fft.fr,http://www.club.fft.fr/tclongjumeau
T.C. MAREIL SUR MAULDRE,0134758301,tcmareil@orange.fr,https://www.tc-mareil-sur-mauldre.org
T.C. LIMOURS,0164915957,tc.limours@fft.fr,http://www.club.fft.fr/tc.limours
T.C. LE TREMBLAY SUR MAULDRE,None,tennis.club.tremblay@gmail.com,http://www.club.fft.fr/tennisclubtremblay-m/
T.C. LE PARC YERRES,None,tennisclubduparc@outlook.fr,http://www.club.fft.fr/tc.parc-de-yerres
T.C. LE MESNIL LE ROI,0139621262,tcmr78@gmail.com,http://www.tc-mesnilleroi.fr
T.C. L'ETANG LA VILLE,0610349503,tcev.serratrice@free.fr,http://www.club.fft.fr/tc.etang-la-ville
T.C. LA VILLE DU BOIS,0950350456,bureau@tcvb.fr,http://www.tcvb.fr
T.C. LE CHESNAY TRIANON,0139544013,tennis.trianon@gmail.com,http://www.club.fft.fr/tennisclubduchesnay
T.C. JOUARS PONTCHARTRAIN,0134896817,tennisclubjpontchartrain@gmail.com,http://tcjp.e-monsite.com
T.C. JUVISY,0169448885,tc.juvisy@fft.fr,http://www.club.fft.fr/tc.juvisy
T.C. JOSASSIEN,0139562217,tennisclubjosassien@gmail.com,https://www.tcj.clubeo.com
T.C. IGNYMONTAIN,0130440964,contact@tci78.fr,https://tennis-club-ignymontain.assoconnect.com
T.C. IGNY,0160191659,tc.igny@fft.fr,http://www.club.fft.fr/tcigny
T.C. HELENE BOUCHER,0675034888,Tennisclubhb@gmail.com,http://www.club.fft.fr/tchb
T.C. HEWLETT-PACKARD FRANCE,0169418531,ato-club@orange.fr,None
T.C. GUYANCOURT,0130438414,tcguyancourt@gmail.com,http://www.tcguyancourt.com
T.C. GIF SUR YVETTE,0169077551,tcgif@free.fr,http://www.club.fft.fr/tcgif
T.C. FORGES LES BAINS,0164914143,tcforgeslesbains@gmail.com,http://www.club.fft.fr/tc.forges-les-bains
T.C. EPINAY SUR ORGE,0686383242,tc.epinay91@gmail.com,http://www.club.fft.fr/tc.epinay-sur-orge/
T.C. FEUCHEROLLES,0130545776,tc.feuch@gmail.com,None
T.C. ECOLE POLYTECHNIQUE,0169332555,MailCSX@polytechnique.fr,http://csx.polytechnique.fr
T.C. EPINAY SOUS SENART,0169395344,tc.epinay-senart@fft.fr,http://www.club.fft.fr/tc-epinay-senart
T.C. DU MAIL VERSAILLES,0652831952,chduplessis@sfr.fr,None
T.C. ELANCOURT,0130629994,club.tc-elancourt@wanadoo.fr,None
T.C. DES SOUDANES,0610820731,tcsoudanes@gmail.com,http://www.club.fft.fr/tc.soudanes/
T.C. DES MOLIERES,None,tennisclubmolieres@gmail.com,http://www.club5.fft.fr/tclesmolieres
T.C. DES LOGES ST GERMAIN,0134514401,Club@tennisclubdesloges.fr,http://tennisclubdesloges.fr/
T.C. DEMOURS,0678263666,jeanpaul.griseti@gmail.com,None
T.C. CentraleSupelec,0169411964,zeno.toffano@centralesupelec.fr,None
T.C. DES CLAYES,0130546468,tcdesclayes@gmail.com,https://www.tcdesclayes.com/
T.C. CRESPIERES,None,tennis.crespieres@gmail.com,http://www.tenniscrespieres.com
T.C. CROISSY SUR SEINE,0139767067,secretariat@tenniscroissy.fr,http://www.tccs.fr
T.C. CHEVREUSE,0130524209,tcchevreuse@sfr.fr,http://www.club.fft.fr/tcchevreuse
T.C. CHATOU,0139526050,tcchatou@gmail.com,http://www.tennisclubchatou.com
T.C. CHATEAUFORT,None,tcchateaufort@gmail.com,http://www.club.fft.fr/tc.chateaufort
