business_name,full_adress,zip_code,phone,license,job_cost,rating,reviews,website,url
Westin Hills,"Sarasota, Florida, United States",34234,(941) 809-9815,CGC1508875,"$100,000 - 2.5 million",5.0,32,https://www.houzz.com/trk/aHR0cDovL3dlc3RpbmhpbGxzY29ycC5jb20/89875ad935555142249377d5e9a72567/ue/MTg4NjQ4NzQ/8300b4f774122c9b87f15a9a6ddb5d05,https://www.houzz.com/professionals/general-contractors/westin-hills-pfvwus-pf~1796246546
"Connolly Management Group, LLC","Greater Boston Area Littleton, Massachusetts, United States",01460,(978) 956-0390,CS-109935,"$10,000 - 1,000,000 plus",5.0,38,https://www.houzz.com/trk/aHR0cHM6Ly9jb25ub2xseW1hbmFnZW1lbnRncm91cC5ob3V6enNpdGUuY29t/7c459fad84eb03f46817224c996e377d/ue/OTAyNTE4OQ/db1770646f4ed0bb3963d2e56c30fdf4,https://www.houzz.com/professionals/general-contractors/connolly-management-group-llc-pfvwus-pf~1955195605
ET Builders,"Ca, California, United States",90036,(310) 749-1707,None,None,5.0,35,https://www.houzz.com/trk/aHR0cDovL3d3dy5ldGJ1aWxkZXJzaW5jLmNvbS8/90fdae7f1c87f59d9e287f43a820504d/ue/MjI5OTczNjM/d90e3c48e5b0bb49a5644278c53b8194,https://www.houzz.com/professionals/general-contractors/et-builders-pfvwus-pf~1477746475
Zinran Construction Services Inc.,"8362 Tamarack Village, Suite 119-312 Woodbury, Minnesota, United States",55125,(612) 804-6840,BC637556,"$30,000 - 500,000",5.0,30,https://www.houzz.com/trk/aHR0cDovL3d3dy56aW5yYW4uY29t/c0bb1534d7f6294f63e21fdeb2e7b489/ue/Mjg2ODg1/03fa815ae4b27b221333be4227453719,https://www.houzz.com/professionals/general-contractors/zinran-construction-services-inc-pfvwus-pf~1954625461
McAdams Remodeling & Design,"13003 NE 85th Street Kirkland, Washington, United States",98033,(425) 822-6555,MCADARD874RB,"$35,000 - 500,000",5.0,32,https://www.houzz.com/trk/aHR0cDovL21jYWRhbXNyZW1vZGVsaW5nLmNvbS8/76a2ca59782007e1e04348e07800c71c/ue/OTk3NTUxMA/17c78520c903754f1d999af2c8312f4b,https://www.houzz.com/professionals/general-contractors/mcadams-remodeling-and-design-pfvwus-pf~310964946
Reuter Homes,"422 Riverside Ave. Newport Beach, California, United States",92663,(949) 861-1844,B-760411,"$500,000 - 3,500,000",4.9,17,https://www.houzz.com/trk/aHR0cDovL3d3dy5yZXV0ZXJob21lcy5jb20/ed995e3f4a6e64b2c916f864e088304d/ue/MzI1MzY/02814ab23351e67ad00a6510319744ad,https://www.houzz.com/professionals/general-contractors/reuter-homes-pfvwus-pf~251754060
Nightingale Co.,"Rochester, Michigan, United States",48307,(248) 670-3762,2101171675,"$50,000 - 10 million",4.8,25,https://www.houzz.com/trk/aHR0cDovL3d3dy5uaWdodGluZ2FsZWNvbXBhbnkuY29t/877f9bbe8780f62bf47bb314fd65dda3/ue/MTAzNzkxMzk/8adf63d9c0b8ee97385ff8915d8d8f3a,https://www.houzz.com/professionals/general-contractors/nightingale-co-pfvwus-pf~940086343
Greenerz Inc,"6901 Topanga Canyon blvd Canoga Park, California, United States",91303,(800) 207-1852,1016401,"$3,000 - 750,000",5.0,36,https://www.houzz.com/trk/aHR0cDovL2dyZWVuZXJ6cmVtb2RlbGluZy5jb20/e78fbfdc92a42d9370c0180773b2960a/ue/MzMwMTMzOTc/d9c3630a2d248962adbf7277f8664686,https://www.houzz.com/professionals/general-contractors/greenerz-inc-pfvwus-pf~345901653
Emiliano Construction Corp,"221 East 173rd Street Bronx, New York, United States",10457,(917) 997-4709,None,None,4.9,32,https://www.houzz.com/trk/aHR0cDovL3d3dy5lbWlsaWFub2NvbnN0cnVjdGlvbi5jb20v/f6ddd64f0ee5e126a0ffd3277d53c5e2/ue/MzY5MDY0NjY/3de0debb1d6b5751cabd8f9e447f47d9,https://www.houzz.com/professionals/general-contractors/emiliano-construction-corp-pfvwus-pf~2049065954
Pacific Construction & Design,"1250 Oakmead Parkway Suite #210 Sunnyville, California, United States",94085,(888) 418-0105,1008104,None,4.8,41,https://www.houzz.com/trk/aHR0cDovL3d3dy50bGNob21laW1wcm92ZW1lbnQuY29t/9499130cebec795cd2565c93e7c0d810/ue/MzAzMjc5NjU/96cd5ac37f1e3786395cfe31282d7240,https://www.houzz.com/professionals/general-contractors/pacific-construction-and-design-pfvwus-pf~94215669
Troost Bros Inc,"Staten Island, New York, United States",10310,(718) 667-3131,None,"$10,000 - 1,000,000.00",5.0,38,https://www.houzz.com/trk/aHR0cDovL3d3dy50cm9vc3Ricm9zLmNvbQ/f97a78106ced1453f30dad2ff330fb02/ue/MTA1NDE0NTE/67e192209521f7c62d5ff6bacfd851e0,https://www.houzz.com/professionals/general-contractors/troost-bros-inc-pfvwus-pf~688618535
Double J Construction Inc,"PO Box 2213 Oregon City, Oregon, United States",97045,(503) 722-5295,Oregon,"$15,000 - 90,000",5.0,32,https://www.houzz.com/trk/aHR0cDovL2RqcmVub3ZhdGVzLmNvbQ/e62dc92f38afdce63b085e08965075ff/ue/OTcyMDU4/f861ae1373cd59d8c4e791d054c48374,https://www.houzz.com/professionals/general-contractors/double-j-construction-inc-pfvwus-pf~184655086
Maple Avenue Construction,"8400 S Kyrene Rd Ste 224 Tempe, Arizona, United States",85284,(480) 418-0260,324725,"$50,000 - 500,000",5.0,29,https://www.houzz.com/trk/aHR0cDovL01hcGxlYXZlbnVlY29uc3RydWN0aW9uLmNvbQ/54c8c1cafba6ef22883f206d61339f9f/ue/NTY2NDU3MzQ/fcb99c79be336ec98a830017130fc818,https://www.houzz.com/professionals/general-contractors/maple-avenue-construction-pfvwus-pf~1924625466
Geiss Custom Builders,"PO Box 346 Short Hills, New Jersey, United States",07078,(908) 377-1758,13VH05074200,None,5.0,38,https://www.houzz.com/trk/aHR0cDovL3d3dy5nZWlzc2N1c3RvbWJ1aWxkZXJzLmNvbQ/ce2d901a254dc78ca594957ec7d3efb5/ue/NzMwNQ/f724f8373bc632dc2067e4bea7da9709,https://www.houzz.com/professionals/general-contractors/geiss-custom-builders-pfvwus-pf~755069045
A. Pepe Contracting LLC,"School View Drive Morris Plains, New Jersey, United States",07950,(201) 738-9720,None,None,5.0,37,https://www.houzz.com/trk/aHR0cHM6Ly9hcGVwZWNvbnRyYWN0aW5nLmhvdXp6c2l0ZS5jb20/d91b07497d3e5b31b59f9e3167014be5/ue/NzM4MDczNw/4fe268570e5939557a0473712e635ee7,https://www.houzz.com/professionals/general-contractors/a-pepe-contracting-llc-pfvwus-pf~1007056973
RemodelWest,"Saratoga, California, United States",95070,(408) 257-4900,B680463,"$300,000 - 4 million",5.0,28,https://www.houzz.com/trk/aHR0cDovL3d3dy5yZW1vZGVsd2VzdC5jb20/dd975f36b145e06f38035312e423c489/ue/MTUyMTc5/08c613ceec93a9a77d10757d0e8a2112,https://www.houzz.com/professionals/general-contractors/remodelwest-pfvwus-pf~1476482203
Reality Construction LLC,"311 Heron Drive West Bend, Wisconsin, United States",53022,(262) 502-3526,858324,"$18,000 - 200,000",4.9,35,https://www.houzz.com/trk/aHR0cDovL3d3dy5yZWFsaXR5Y29uc3RydWN0aW9ubGxjLmNvbS8/9d2eaf6ff8e6393935e6f61dde158edf/ue/NDY4OTc0Ng/0b996035527cadfee4c055e6e56963c5,https://www.houzz.com/professionals/general-contractors/reality-construction-llc-pfvwus-pf~436537674
A-List Builders Inc.,"13237 Chandler Blvd Sherman Oaks, California, United States",91401,(877) 582-7770,952112,"$50,000 - 5 million",4.9,23,https://www.houzz.com/trk/aHR0cDovL3d3dy5hLWxpc3RidWlsZGVycy5jb20/617c6a97e927e28257317927151c8ab0/ue/MzE4MDUzOTE/af66337b6e3a91ae8317957e4d30944d,https://www.houzz.com/professionals/general-contractors/a-list-builders-inc-pfvwus-pf~564077891
Adam Hartig,"Palmer, Alaska, United States",99645,,None,"$500,000 - 5 million",5.0,35,None,https://www.houzz.com/professionals/general-contractors/adam-hartig-pfvwus-pf~595674418
"Craig Tuttle Construction, Inc.","1536 South 79th Street Omaha, Nebraska, United States",68124,(402) 344-4243,None,"$100,000 - 5,000,000",5.0,30,https://www.houzz.com/trk/aHR0cDovL3d3dy5jcmFpZ3R1dHRsZWNvbnN0cnVjdGlvbi5jb20/92ff07d680a9664e9f3192018e71ee9d/ue/NDU2NTM3NA/0cedb321c19ce545ee2db5ce8cc7b5fa,https://www.houzz.com/professionals/general-contractors/craig-tuttle-construction-inc-pfvwus-pf~1132800810
New West Partners,"130 Ski Hill Road Ste. 250, PO Box 1597 Breckenridge, Colorado, United States",80424,(970) 519-2114,None,"$500,000.00 - 4,000,000.00",5.0,34,https://www.houzz.com/trk/aHR0cDovL253cGFydG5lcnMubmV0/b885f509b40f5697605253c4556011fd/ue/MjQ0NDQxOA/99d834ee54b7b3d1219004bfab4b54f4,https://www.houzz.com/professionals/general-contractors/new-west-partners-pfvwus-pf~973284726
Conniff Construction Co.,"1800 Chilvers Ave Whiting, New Jersey, United States",08759,(732) 515-3034,13VH06071700,"$10,000 - 1,500,000",5.0,33,https://www.houzz.com/trk/aHR0cDovL3d3dy5jb25uaWZmY29uc3RydWN0aW9uLm5ldA/d80434236969440cd3559781408cba56/ue/OTIxMzA5NQ/16b7d391aa7afa308e74dc9306000b06,https://www.houzz.com/professionals/general-contractors/conniff-construction-co-pfvwus-pf~1888073975
Zelaya Properties LLC,"950 N Washington St Suite 100 Alexandria, Virginia, United States",22314,(703) 672-0252,VA:2705118267-DC:410512000287,"$50,000 - 3 million",4.8,26,https://www.houzz.com/trk/aHR0cDovL3d3dy5aZWxheWFQcm9wZXJ0aWVzLmNvbQ/26dd6a09cc820f1fe12a8ab6b28eb0c4/ue/Mzc5Nzc4Nw/9b079e3bf182ba9dcbbb74fc22716d84,https://www.houzz.com/professionals/general-contractors/zelaya-properties-llc-pfvwus-pf~151187087
Silicon Valley Renovations,"1721 Rodger Ave. #P San Jose, California, United States",95112,(669) 342-4097,#1039868,"$25,000 - 3,000,000",5.0,36,https://www.houzz.com/trk/aHR0cDovL3d3dy5zdnJlbm92YXRpb25zLmNvbQ/1d6213715d4bc26abe8a1631c5dc520c/ue/NTEyNDQ3Mjk/ee4d5f339b016481b6f8696710500fb9,https://www.houzz.com/professionals/general-contractors/silicon-valley-renovations-pfvwus-pf~1295101781
Thompson Construction,"6465 Olstad Drive Independence, Minnesota, United States",55359,(952) 393-5349,BC686985,"$150,000 - 2.5 million",5.0,14,https://www.houzz.com/trk/aHR0cDovL3d3dy50aG9tcHNvbmRiLmNvbQ/45304c9c2cc835a66bd040ebe3f7e302/ue/MTU5NDk5OTk/7358528c2237d53ce157cdd4b9d1859c,https://www.houzz.com/professionals/general-contractors/thompson-construction-pfvwus-pf~1636714423
Sunrise Building & Remodeling Inc,"510 N State Rd Briarcliff Manor, New York, United States",10510,(914) 762-8453,WC-0321-H87,"$20,000 - 500,000",5.0,30,https://www.houzz.com/trk/aHR0cDovL3d3dy5zdW5yaXNlYnVpbGRpbmcuY29t/1b75364c03a6acae29a03dbece4fe694/ue/NTUzMTk2Ng/e79f21b2c8f16f5e9a83ab4b5112081b,https://www.houzz.com/professionals/general-contractors/sunrise-building-and-remodeling-inc-pfvwus-pf~1132738350
Realty Design Group,"Chicago, Illinois, United States",60641,(312) 217-3828,None,"$10,000 - 250,000",5.0,36,https://www.houzz.com/trk/aHR0cDovL3JlYWx0eWRlc2lnbmdyb3VwLm5ldA/cb6304a8a8f8bf8c95755276a09bca41/ue/NDE5MjYyMTI/0838d7a21c4ada47581bb54517d1b9ec,https://www.houzz.com/professionals/general-contractors/realty-design-group-pfvwus-pf~916884056
TipTop Insulation,"Los Angeles, California United States",None,(323) 305-5010,None,None,5.0,33,https://www.houzz.com/trk/aHR0cDovL3d3dy50aXB0b3BpbnN1bGF0aW9uLmNvbS8/a4394b6393f72d60be63e99f5ebfe0b9/ue/NTQ5NDc3MzU/37d4b57d04d92adaaf72f530c486d4f6,https://www.houzz.com/professionals/general-contractors/tiptop-insulation-pfvwus-pf~280303431
"American Contracting Services, LLC","4536 Bruce Road Chesapeake, Virginia, United States",23321,(757) 285-4174,2705150680,"$50,000 - 2 million",5.0,25,https://www.houzz.com/trk/aHR0cDovL3ZhYnVpbGQuY29t/98b1ff68aec48b2e61d6b6642ae86761/ue/MTczNjA4MTg/2bee19460704cef2c57783ef3799a545,https://www.houzz.com/professionals/general-contractors/american-contracting-services-llc-pfvwus-pf~1511129030
Resourceful Renovator,"234 Mill Brook Rd. Jericho, Vermont, United States",05465,(802) 434-4400,None,None,4.8,31,https://www.houzz.com/trk/aHR0cDovL3d3dy5yZXNvdXJjZWZ1bHJlbm92YXRvci5jb20/a142f786d96fef4d2e0dff74a79cad8b/ue/MzU4NDk0MA/fae38bbf13dbb4d10e1e0ce04c579847,https://www.houzz.com/professionals/general-contractors/resourceful-renovator-pfvwus-pf~1736579716
Platinum Construction LLC,"6111 Park Avenue #2C West New York, New Jersey, United States",07093,(201) 662-9310,HIC,"$50,000 - 1 million",5.0,26,https://www.houzz.com/trk/aHR0cHM6Ly9wbGF0aW51bWNvbnN0ci5jb20/7ddd3ddefbee835a751ac329060bb21c/ue/NTc2ODg4NA/853547d0ceae4ea00e399904392b0775,https://www.houzz.com/professionals/general-contractors/platinum-construction-llc-pfvwus-pf~1451553236
Sea Island Builders LLC,"2113 Middle Street -Suite 100 Sullivans Island, South Carolina, United States",29482,(843) 883-7430,None,"$500,000 - 10 million",5.0,27,https://www.houzz.com/trk/aHR0cDovL3d3dy5TZWFJc2xhbmRCdWlsZGVycy5jb20/4e7a3c9451e814fe8453582930e580c1/ue/Mjk3ODUxMw/04258ad26fba0624310e271b95201937,https://www.houzz.com/professionals/general-contractors/sea-island-builders-llc-pfvwus-pf~470001297
Inner City Skyline,"Huntington Beach, California, United States",92648,(855) 751-4663,567188,"$5,000 - 150,000",5.0,35,https://www.houzz.com/trk/aHR0cHM6Ly93d3cuaW5uZXJjaXR5c2t5bGluZWluYy5jb20v/5cf7ee93b313e06f801ea9663b1f6880/ue/MTg3MDg3ODg/55d599350514d9cbce476f1689f714f4,https://www.houzz.com/professionals/general-contractors/inner-city-skyline-pfvwus-pf~1452320300
Signature Homes of the Chippewa Valley LLC.,"2809 East Hamilton Avenue #180 Eau Claire, Wisconsin, United States",54701,(715) 952-4018,None,"$20,000 - 5,000,000",5.0,21,https://www.houzz.com/trk/aHR0cHM6Ly9zaWduYXR1cmVob21lc2N2LmNvbQ/c4d7ec941f99d6d1a8ce6d355baf6f54/ue/NjU0NDQyNw/002a5b69098c08ce12c2f532beed1dd9,https://www.houzz.com/professionals/general-contractors/signature-homes-of-the-chippewa-valley-llc-pfvwus-pf~1762086015
Golden Star Construction,"2358 Westcliffe Ln Walnut Creek, California, United States",94597,(510) 692-5234,716813,"$1,000 - 550,000",5.0,35,https://www.houzz.com/trk/aHR0cDovL3d3dy5nb2xkZW5zdGFyY29uc3RydWN0aW9uY2EuY29t/e114e85be280944eceda1083ae2062c6/ue/NTczODAwNjU/576358fb73b3cd183fa8ab6b03c195b6,https://www.houzz.com/professionals/general-contractors/golden-star-construction-pfvwus-pf~2084030833
Tall Pines Construction,"P.O. Box 980776 Park City, Utah, United States",84098,(435) 214-1107,56464935501,"$100,000.00 - 10,0000.00",5.0,26,https://www.houzz.com/trk/aHR0cHM6Ly90YWxscGluZXNjb25zdHJ1Y3Rpb24uY29t/5b75281690eb18292ec941aaa15459fa/ue/MzYwNDcxMg/4f7b964a1e8e3a8c37f84f5ac0717580,https://www.houzz.com/professionals/general-contractors/tall-pines-construction-pfvwus-pf~1862402480
John Krause Construction,"Lusby, Maryland, United States",20657,(443) 856-2782,None,"$1,500 - ",4.5,35,https://www.houzz.com/trk/aHR0cHM6Ly93d3cuam9obmtyYXVzZWNvbnN0cnVjdGlvbi5jb20v/cacb3979c8121bafedbb603eb710e4bd/ue/MjQxNzYxMzg/3c338a782b8856fa0091b6319128c131,https://www.houzz.com/professionals/general-contractors/john-krause-construction-pfvwus-pf~722894814
"Spencer & Sons Construction, Inc.","4030 Crooked Lake Road Howell, Michigan, United States",48843,(517) 568-1087,2101170339,None,4.7,38,https://www.houzz.com/trk/aHR0cDovL3d3dy5zcGVuY2VyYW5kc29uc2NvbnN0cnVjdGlvbi5jb20/af57310668bb1736e52462ef241c615d/ue/Mzg3Njg0Mw/58b4c72b1b9f2ff855f9285799272cd8,https://www.houzz.com/professionals/general-contractors/spencer-and-sons-construction-inc-pfvwus-pf~1761788867
Frontier Custom Builders,"Monticello, Minnesota, United States",55313,(612) 616-2252,BC700824,None,5.0,15,https://www.houzz.com/trk/aHR0cDovL3d3dy5mcm9udGllcmN1c3RvbWJ1aWxkLmNvbQ/abf7801b9fbcc0be667a365ce10fac06/ue/MzA1NDMyNzY/3b19f50c313a4fb595dca31f4be72427,https://www.houzz.com/professionals/general-contractors/frontier-custom-builders-pfvwus-pf~1738297700
NYKB,"8 West 25th Street NY Manhattan, New York, United States",10010,(212) 242-3500,2036427-DCA,"$20,000 - 500,000",4.8,31,https://www.houzz.com/trk/aHR0cHM6Ly93d3cubnlrYi5jb20/e88889abf703f0aeb1febb26c01d67ef/ue/Njc2MjU0Mw/b71503af36bb4bbc589fff280b34fda2,https://www.houzz.com/professionals/general-contractors/nykb-pfvwus-pf~1636238015
Schmidt Homes Remodeling,"1325 Armstrong Road Northfield, Minnesota, United States",55057,(507) 663-0482,BC0001064,"$20,000.00 - 1,000,000.00",4.8,25,https://www.houzz.com/trk/aHR0cDovL3d3dy5zY2htaWR0aG9tZXMuY29t/67b521d6115ad471ee7010393141a772/ue/MTY0OTA2NQ/d4fa6d739d8e52216609cffbbeb57bda,https://www.houzz.com/professionals/general-contractors/schmidt-homes-remodeling-pfvwus-pf~1828774693
Renovations Unlimited,"Whitmore Lake, Michigan, United States",48189,(810) 374-6400,2101206556,"$10,000 - 500,000",5.0,27,https://www.houzz.com/trk/aHR0cDovL3d3dy51bmxpbWl0eW91cmhvbWUuY29t/2525f89b0b01e62e4f055b61f5edfca1/ue/NDQ3NjUzNzA/359fd435f39fcd8b56abaadab5b5b370,https://www.houzz.com/professionals/general-contractors/renovations-unlimited-pfvwus-pf~1261158582
Design REMODEL Pros,"Dallas, Texas, United States",75248,(972) 407-0754,None,None,5.0,24,https://www.houzz.com/trk/aHR0cDovL3d3dy5EZXNpZ25SRU1PREVMUHJvcy5jb20/40f23701186809ff809eab13e4514d40/ue/MjYwNjY5Mw/4901e6dcae700d3efcb2e622b3134e8f,https://www.houzz.com/professionals/general-contractors/design-remodel-pros-pfvwus-pf~1954745817
Hope Restoration & General Contracting,"3492 Millikin Court Columbus, Ohio, United States",43228,(614) 312-7601,"HIC6164,","$5,000 - 2 million",4.7,35,https://www.houzz.com/trk/aHR0cDovL3d3dy5ob3BlcmVzdG9yYXRpb24uY29t/7d6a1b654c1e9e89334d5fad54bf7bc1/ue/ODkyNDkzMg/73488220c924c5742e8b51701e2e20e7,https://www.houzz.com/professionals/general-contractors/hope-restoration-and-general-contracting-pfvwus-pf~915010380
Penn Carpentry,"Lawrenceville, Georgia, United States",30043,(770) 962-4374,None,"$50,000 - 450,000",5.0,27,https://www.houzz.com/trk/aHR0cDovL3Blbm5jYXJwZW50cnkuY29t/6ac1829f08ded70b38034e61f906529c/ue/OTIxMDM2OQ/2b81e47d38c84deb42bae2f4b16cec81,https://www.houzz.com/professionals/general-contractors/penn-carpentry-pfvwus-pf~1007270173
Room By Room Total Home Remodeling,"11 West College Drive Suite M Arlington Heights, Illinois, United States",60004,(847) 886-4756,None,"$10,000 - 50,000",4.9,35,https://www.houzz.com/trk/aHR0cDovL3d3dy5yYnJ0aHIuY29tLw/4cdb4093b179e0d03e90fbe0d519ed8d/ue/MzUyMTg4MTE/b7ee85a55f34ee7522220dc2296b2f7c,https://www.houzz.com/professionals/general-contractors/room-by-room-total-home-remodeling-pfvwus-pf~1226893291
A Tamam Construction,"41060 High St # H Fremont, California, United States",94549,(408) 478-3111,1003075,"$10,000 - 80,000",4.9,34,https://www.houzz.com/trk/aHR0cDovL3d3dy5hdGFjb25zdHJ1Y3Rpb25pbmMuY29t/eb1b33dcdbadadacd8473a9b8599d0b8/ue/MzE0NTkzNzk/f62c97afc6e665b7e4f177edb7bf0b5a,https://www.houzz.com/professionals/general-contractors/a-tamam-construction-pfvwus-pf~1478455615
Aesthetic Renovations,"Bedford, New York, United States",10506,(914) 707-0059,WC-13799-H03,None,5.0,33,https://www.houzz.com/trk/aHR0cHM6Ly93d3cuQWVzdGhldGljUmVub3ZhdGlvbnMuY29t/900a8b5b573c679de9173ada083d2d99/ue/ODkxNTMzMg/eda1c5d3de30b60d4060b46497303d33,https://www.houzz.com/professionals/general-contractors/aesthetic-renovations-pfvwus-pf~915009828
The North Star Companies LLC,"Harwood, Maryland, United States",20776,(410) 618-1720,MHIC,"$15,000 - 1,000,000",5.0,33,https://www.houzz.com/trk/aHR0cDovL3d3dy50aGVub3J0aHN0YXJjb21wYW5pZXNsbGMuY29tLw/c67126fb8893797c1091c7b8f8fb9d0a/ue/MjY4Nzg5MDc/46317042c48b42824663bbb21e4387b7,https://www.houzz.com/professionals/general-contractors/the-north-star-companies-llc-pfvwus-pf~1226363783
"Green Advisor, Inc.","15928 Ventura Blvd Encino, California, United States",91436,(818) 873-5271,1065856,None,5.0,26,https://www.houzz.com/trk/aHR0cHM6Ly9ncmVlbmFkdmlzb3JpbmMuY29tLw/051df242ae62611a62902017dbe90b92/ue/NjIwMDk0MzQ/391287dc13c211144f413f89dd7efadb,https://www.houzz.com/professionals/general-contractors/green-advisor-inc-pfvwus-pf~188371642
Ohana Home & Design,"720 Main Street Suite 107 Mendota Heights, Minnesota, United States",55118,(651) 274-3116,BC580521,"$25,000 - 5 million",4.8,34,https://www.houzz.com/trk/aHR0cDovL3d3dy5vaGFuYW1uLmNvbQ/01c5db91613e2fc051330e6eaf694593/ue/MTg3NzI2MA/cec35c776be8f20816c35241e63f363b,https://www.houzz.com/professionals/general-contractors/ohana-home-and-design-pfvwus-pf~662748140
Aptitude Design & Build,"4372 Green Ash Dr. Earth City, Missouri, United States",63045,(314) 207-8243,None,"$15,000 - 500,000",5.0,23,https://www.houzz.com/trk/aHR0cDovL3d3dy5hcHRpdHVkZWRlc2lnbmFuZGJ1aWxkLmNvbQ/fb0dacd1d7ed9ae540d2a827876315cc/ue/NDI1NjUyNA/df5b2b09351694835e3006a01ced92d0,https://www.houzz.com/professionals/general-contractors/aptitude-design-and-build-pfvwus-pf~663060108
Koskey Homes,"Destin, Florida, United States",32550,(850) 898-1896,CBC1250552,"$1,000 - 1,000,000+",4.9,35,https://www.houzz.com/trk/aHR0cDovL3d3dy5rb3NrZXlob21lcy5jb20/2da0aff24a8cd72803ba619fc43a1b32/ue/MjYyMTU0MjI/f0bdb1b0b426724b6d9dcdf794720194,https://www.houzz.com/professionals/general-contractors/koskey-homes-pfvwus-pf~1134064002
F. John LaBarba Construction,"741 Redwood Drive Santa Cruz, California, United States",95060,(831) 423-1109,385928,"$35,000 - 2000,000.00",5.0,32,https://www.houzz.com/trk/aHR0cDovL0ZKb2huTGFCYXJiYS5Db20/bbba1711b39a3f274277efeb5e6ad655/ue/ODk5MTgwMw/0c1008f31d8b694f040c139bd756bd1e,https://www.houzz.com/professionals/general-contractors/f-john-labarba-construction-pfvwus-pf~1225384703
"Bay Harbour Homes, LLC","4026 Henderson Blvd. Tampa, Florida, United States",33629,(813) 602-5727,CBC053036,"$500,000 - 2.5 million",4.9,30,https://www.houzz.com/trk/aHR0cDovL3d3dy5iYXloYXJib3VyaG9tZXMuY29t/05e9a58f9a00f99d2c3505810b8d753d/ue/NTc3NDE1MA/7ebe36d786812220fa0efb4fe69e0804,https://www.houzz.com/professionals/general-contractors/bay-harbour-homes-llc-pfvwus-pf~847573002
"RIEK Builds, Inc.","Incline Village or Carson Valley, Nevada, United States",89451,(775) 475-1140,78832,"$20,000 - 1.3 million",5.0,28,https://www.houzz.com/trk/aHR0cDovL1JJRUtCdWlsZHMuY29t/081b75cb66712f8f7a89580c72b5467e/ue/Mjc4ODM2NzU/719b813c30323f8477fdda1d4688bc34,https://www.houzz.com/professionals/general-contractors/riek-builds-inc-pfvwus-pf~152823351
"Royal Construction Group, Inc.","Roswell, Georgia, United States",30076,(770) 766-9954,RBQA005869,"$35,000 - 1.5 million",4.7,32,https://www.houzz.com/trk/aHR0cHM6Ly93d3cucm95YWxjb25zdHJ1Y3Rpb25ncm91cGluYy5jb20vY29udGFjdA/d187b6b4365ed4dc0b05f7a558b1d1e5/ue/MTMxNjMzOTI/314fd8dbd2d0b1b0adf022c2dcee12a0,https://www.houzz.com/professionals/general-contractors/royal-construction-group-inc-pfvwus-pf~1041103876
Capstone Custom Homes,"10006 Thomas Lane Dripping Springs, Texas, United States",78620,(512) 924-6665,None,"$300,000 - 5 million",5.0,27,https://www.houzz.com/trk/aHR0cDovL3d3dy5jYXBzdG9uZWF1c3Rpbi5jb20/6e45f957bf7764bb7ff99e5b4ca72184/ue/MjAzMzI5/d8cbb235fe2e78a05170e805132b286b,https://www.houzz.com/professionals/general-contractors/capstone-custom-homes-pfvwus-pf~1006714905
Acton ADU,"808 E. McGlincy Campbell, California, United States",95008,(408) 369-1103,638333,"$150,000 - $1,000,000",4.9,29,https://www.houzz.com/trk/aHR0cHM6Ly9hY3RvbmFkdS5jb20v/2621d329aea0a28f773a6f91b52c348b/ue/MzcyODUxMg/27d2d78590635f5af9a79a214d7174ee,https://www.houzz.com/professionals/general-contractors/acton-adu-pfvwus-pf~1040383988
"J. Schwartz, LLC Remodeling & Fine Homebuilding","7 East King Street Malvern, Pennsylvania, United States",19355,(610) 595-9106,HIC#00861,"$50,000 - 4 million",4.9,21,https://www.houzz.com/trk/aHR0cDovL3d3dy5qc2Nod2FydHpjb25zdHJ1Y3Rpb24uY29t/298675c6ccb58b7072aa7110783c469b/ue/MTc2OTQ4Ng/c2a281df19c64337b5c7d5e8ca90b4b3,https://www.houzz.com/professionals/general-contractors/j-schwartz-llc-remodeling-and-fine-homebuilding-pfvwus-pf~595640766
Crippen Woodworks,"Tucker, Georgia, United States",30087,(770) 231-4997,RBCO004772,None,5.0,34,https://www.houzz.com/trk/aHR0cDovL3d3dy5jcmlwcGVud29vZHdvcmtzLmNvbS8/a89b10345e215545d044d575b5ff7506/ue/NjY3OTAxNQ/2e9ce3326017ecae67bbea0f663af326,https://www.houzz.com/professionals/general-contractors/crippen-woodworks-pfvwus-pf~1887907619
"Adlich Renovations, LLC","Richmond, Virginia United States",None,(314) 310-1419,None,"$1,000 - 750,000",5.0,24,https://www.houzz.com/trk/aHR0cDovL3d3dy5hZGxpY2hyZW5vdmF0aW9ucy5jb20/f922816963de4397b4eb0f8f675a7c30/ue/NDI4MDEwNTM/28f9ea012305555485dcf6024e301e34,https://www.houzz.com/professionals/general-contractors/adlich-renovations-llc-pfvwus-pf~95002821
Ant Builders,"801 Varnum St NW Washington, D.C., United States",20011,(202) 330-7525,97775,"$50,000 - 500,000",5.0,30,https://www.houzz.com/trk/aHR0cDovL2FudGJ1aWxkZXJzLmNvbQ/fb925e5e075608e9fbbb1c1be637db5f/ue/OTE5NDA2MA/03a362f021c088697096e4ce0656035c,https://www.houzz.com/professionals/general-contractors/ant-builders-pfvwus-pf~663336216
